order_id,order_date,customer_id,customer_name,region,category,subcategory,segment,sales_channel,payment_method,quantity,unit_price,discount,sales,cost,profit
ORD-10016,2025-05-11,CUST-1076,Customer 127,East,Clothing,Jacket,Home Office,Retail Store,Cash,10,2063.24,0.15,17537.54,11667.06,5870.48
ORD-10017,2025-05-30,CUST-1038,Customer 134,Central,Office Supplies,Paper,Consumer,Partner,Debit Card,9,6193.28,0.1,50165.57,28177.94,21987.63
ORD-10018,2025-11-05,CUST-1141,,Central,Electronics,Laptop,Consumer,Retail Store,Debit Card,7,22664.73,0.05,150720.45,84295.95,66424.5
ORD-10019,2025-09-15,CUST-1087,Customer 144,South,Electronics,Laptop,Consumer,Online,Credit Card,1,46700.36,0.05,44365.34,29564.89,14800.45
ORD-10020,2025-12-10,CUST-1058,Customer 131,Central,Furniture,Chair,Corporate,Retail Store,Cash,8,15876.19,0.1,114308.57,68357.38,45951.19
ORD-10021,2025-10-21,CUST-1050,Customer 21,Central,Office Supplies,Binder,Home Office,Online,Debit Card,3,25411.02,0.0,76233.06,42462.24,33770.82
ORD-10022,2025-07-11,CUST-1030,Customer 64,Central,Clothing,Jacket,Consumer,Partner,UPI,8,2174.49,0.1,15656.33,12162.84,3493.49
ORD-10023,2025-10-04,CUST-1101,Customer 90,East,Food,Beverages,Consumer,Partner,UPI,5,7502.33,0.05,35636.07,24501.83,11134.24
ORD-10024,2025-06-10,CUST-1025,Customer 36,Central,Food,Beverages,Corporate,Partner,Cash,1,49332.84,0.15,41932.91,26701.76,15231.15
ORD-10025,2025-11-10,CUST-1112,Customer 62,Central,Clothing,Shirt,Home Office,Online,Debit Card,7,48259.42,0.0,337815.94,277017.5,60798.44
ORD-10026,2025-01-22,CUST-1126,Customer 76,Central,Furniture,Cabinet,Home Office,Retail Store,Credit Card,5,346.51,0.1,1559.3,911.94,647.36
ORD-10027,2025-09-10,CUST-1123,Customer 13,North,Food,Dairy,Corporate,Partner,Credit Card,6,47595.41,0.05,271293.84,227012.08,44281.76
ORD-10028,2025-08-24,CUST-1047,Customer 11,East,Office Supplies,Binder,Corporate,Online,Credit Card,6,31992.08,0.1,172757.23,111288.48,61468.75
ORD-10029,2025-12-11,CUST-1118,Customer 54,South,Furniture,Table,Home Office,Online,UPI,8,43409.12,0.0,347272.96,283555.7,63717.26
ORD-10030,2025-02-18,CUST-1039,Customer 16,North,Office Supplies,Binder,Corporate,Retail Store,Debit Card,9,22791.52,0.1,,134929.24,49682.07
ORD-10031,2025-02-28,CUST-1016,Customer 8,West,Electronics,Mobile,Home Office,Partner,Debit Card,2,25828.24,0.1,46490.83,37100.25,9390.58
ORD-10032,2025-06-19,CUST-1022,Customer 104,East,Furniture,Desk,Home Office,Online,UPI,9,24493.44,0.1,198396.86,167685.81,30711.05
ORD-10033,2025-07-07,CUST-1054,Customer 59,East,Food,Packaged Food,Consumer,Retail Store,Credit Card,10,33376.53,0.1,300388.77,191203.95,109184.82
ORD-10034,2025-09-28,CUST-1149,Customer 57,West,Furniture,Table,Consumer,Partner,Credit Card,9,7068.6,0.1,57255.66,47999.75,9255.91
ORD-10035,2025-07-09,CUST-1016,Customer 40,West,Furniture,Table,Home Office,Retail Store,Cash,10,1595.68,0.15,13563.28,9044.6,4518.68
ORD-10036,2025-06-24,CUST-1059,Customer 130,West,Furniture,Cabinet,Home Office,Retail Store,Net Banking,10,15465.7,0.0,154657.0,102947.98,51709.02
ORD-10037,2025-02-20,CUST-1031,Customer 94,South,Furniture,Desk,Home Office,Online,Debit Card,7,35263.57,0.15,209818.24,136825.86,72992.38
ORD-10038,2025-12-30,CUST-1032,Customer 138,Central,Office Supplies,Printer Ink,Home Office,Online,Debit Card,1,10172.49,0.05,9663.87,6884.76,2779.11
ORD-10039,2025-02-24,CUST-1009,Customer 44,East,Electronics,Monitor,Home Office,Online,Debit Card,7,33704.28,0.0,235929.96,140671.71,95258.25
ORD-10040,2025-09-01,CUST-1139,Customer 139,Central,Clothing,Jacket,Home Office,Retail Store,Net Banking,10,48498.61,0.0,484986.1,347305.07,137681.03
ORD-10041,2025-11-16,CUST-1010,Customer 80,Central,Furniture,Table,Corporate,Online,Cash,5,4785.65,0.05,22731.84,16196.7,6535.14
ORD-10042,2025-05-11,CUST-1017,Customer 81,West,Food,Snacks,Home Office,Retail Store,Net Banking,6,33662.85,0.15,171680.53,133665.4,38015.13
ORD-10043,2025-11-03,CUST-1068,Customer 2,,Furniture,Chair,Corporate,Retail Store,Credit Card,10,22243.14,0.1,200188.26,160169.62,40018.64
ORD-10044,2025-05-15,CUST-1048,Customer 140,North,Food,Dairy,Corporate,Online,Credit Card,7,43420.3,0.15,258350.79,176229.45,82121.34
ORD-10045,2025-01-21,CUST-1111,Customer 115,South,Office Supplies,Pen,Home Office,Partner,Debit Card,5,8939.77,0.1,40228.97,25774.7,14454.27
ORD-10046,2025-11-25,CUST-1123,Customer 90,Central,Food,Packaged Food,Home Office,Partner,UPI,7,34662.04,0.05,230502.57,144709.62,85792.95
ORD-10047,2025-06-16,CUST-1149,Customer 23,South,Clothing,Jacket,Corporate,Partner,Debit Card,9,41921.95,0.0,377297.55,229542.98,147754.57
ORD-10048,2025-10-01,CUST-1101,Customer 146,West,Electronics,Monitor,Corporate,Retail Store,UPI,3,47236.25,0.05,134623.31,76371.03,58252.28
ORD-10049,2025-03-30,CUST-1102,Customer 62,North,Food,Snacks,Home Office,Retail Store,Net Banking,8,34194.08,0.05,259875.01,169629.36,90245.65
ORD-10050,2025-11-12,CUST-1065,Customer 113,West,Food,Beverages,Home Office,Retail Store,Credit Card,2,24909.02,0.0,49818.04,31438.89,18379.15
ORD-10051,2025-01-14,CUST-1051,Customer 128,North,Electronics,Laptop,Corporate,Online,UPI,7,30930.58,0.0,216514.06,181855.62,34658.44
ORD-10052,2025-08-30,CUST-1036,Customer 62,Central,Clothing,Shirt,Corporate,Retail Store,Net Banking,2,43458.36,0.1,78225.05,56111.82,22113.23
ORD-10053,2025-09-22,CUST-1081,Customer 38,North,Furniture,Chair,Corporate,Online,Credit Card,4,28573.43,0.1,102864.35,67292.12,35572.23
ORD-10054,2025-12-12,CUST-1127,Customer 61,North,Food,Snacks,Consumer,Online,UPI,7,1616.31,0.2,9051.34,6554.44,2496.9
ORD-10055,2025-02-22,CUST-1088,Customer 129,North,Electronics,Headphones,Corporate,Partner,Debit Card,3,46554.34,0.2,111730.42,66117.48,45612.94
ORD-10056,2025-12-06,CUST-1104,Customer 149,South,Office Supplies,Binder,Consumer,Partner,Debit Card,2,34507.38,0.1,62113.28,42436.61,19676.67
ORD-10057,2025-04-02,CUST-1015,Customer 122,South,Electronics,Laptop,Home Office,Partner,Debit Card,10,33858.02,0.05,321651.19,237336.86,84314.33
ORD-10058,2025-09-21,CUST-1096,Customer 110,Central,Office Supplies,Pen,Home Office,Online,Net Banking,7,10862.19,0.1,68431.8,47674.34,20757.46
ORD-10059,2025-02-04,CUST-1123,Customer 13,North,Clothing,Shoes,Corporate,Online,Debit Card,1,32978.38,0.15,28031.62,18796.14,9235.48
ORD-10060,2025-07-25,CUST-1001,Customer 100,East,Furniture,Desk,Home Office,Online,Cash,8,19753.83,0.0,158030.64,134034.4,23996.24
ORD-10061,2025-03-22,CUST-1122,Customer 135,Central,Electronics,Mobile,Home Office,Retail Store,Credit Card,3,32596.53,0.05,92900.11,75629.46,17270.65
ORD-10062,2025-02-19,CUST-1126,Customer 22,North,Food,Beverages,Home Office,Online,Net Banking,2,5418.99,0.15,9212.28,6789.65,2422.63
ORD-10063,2025-12-26,CUST-1057,Customer 74,North,Clothing,Shirt,Home Office,Partner,Debit Card,3,32926.48,0.05,93840.47,67641.45,26199.02
ORD-10064,2025-01-02,CUST-1081,Customer 132,South,Electronics,Headphones,Consumer,Partner,Credit Card,5,49970.74,0.1,224868.33,165547.65,59320.68
ORD-10065,2025-02-23,CUST-1073,Customer 23,Central,Food,Beverages,Consumer,Online,UPI,8,2505.78,0.1,18041.62,11012.49,7029.13
ORD-10066,2025-04-16,CUST-1141,Customer 119,North,Electronics,Laptop,Corporate,Online,Debit Card,10,48860.99,0.0,488609.9,326655.91,161953.99
ORD-10067,2025-09-17,CUST-1070,Customer 70,North,Office Supplies,Pen,Corporate,Partner,Credit Card,7,20404.71,0.05,135691.32,76236.52,59454.8
ORD-10068,2025-11-06,CUST-1006,Customer 84,Central,Electronics,Mobile,Corporate,Online,Cash,7,43550.6,0.05,289611.49,200603.4,89008.09
ORD-10069,2025-07-10,CUST-1084,Customer 101,East,Electronics,Laptop,Home Office,Partner,UPI,7,39141.04,0.0,273987.28,195327.55,78659.73
ORD-10070,2025-08-06,CUST-1052,Customer 84,Central,Electronics,Headphones,Home Office,Retail Store,Cash,8,28394.11,0.0,227152.88,140454.29,86698.59
ORD-10071,2025-02-13,CUST-1003,Customer 28,Central,Clothing,Jacket,Consumer,Partner,Credit Card,1,36948.62,0.15,31406.33,26356.46,5049.87
ORD-10072,2025-06-11,CUST-1081,Customer 136,East,Electronics,Monitor,Consumer,Retail Store,Cash,-2,43937.93,0.0,175751.72,144614.91,31136.81
ORD-10073,2025-07-21,CUST-1063,Customer 1,Central,Food,Snacks,Corporate,Online,Credit Card,-2,20266.6,0.1,109439.64,83901.13,25538.51
ORD-10074,2025-09-27,CUST-1049,Customer 63,North,Office Supplies,Printer Ink,Consumer,Online,Credit Card,9,16418.95,0.0,147770.55,104919.45,42851.1
ORD-10075,2025-12-17,CUST-1076,Customer 22,Central,Office Supplies,Printer Ink,Consumer,Retail Store,Cash,2,33412.91,0.2,53460.66,43356.1,10104.56
ORD-10076,2025-10-31,CUST-1112,Customer 70,East,Electronics,Monitor,Consumer,Online,Credit Card,1,40411.51,0.0,40411.51,23810.29,16601.22
ORD-10077,2025-09-28,CUST-1109,Customer 125,West,Clothing,Jacket,Consumer,Retail Store,Debit Card,10,38138.03,0.05,362311.28,285194.39,77116.89
ORD-10078,2025-08-03,CUST-1065,Customer 149,Central,Clothing,Shirt,Consumer,Online,Credit Card,2,39910.9,0.15,67848.53,39857.36,27991.17
ORD-10079,2025-09-09,CUST-1081,Customer 96,South,Food,Dairy,Corporate,Partner,Net Banking,7,21835.61,0.15,129921.88,102412.64,27509.24
ORD-10080,2025-07-09,CUST-1015,Customer 79,North,Electronics,Laptop,Corporate,Online,Credit Card,3,40909.93,0.0,122729.79,77654.85,45074.94
ORD-10081,2025-10-23,CUST-1100,Customer 5,North,Office Supplies,Paper,Consumer,Partner,Net Banking,10,6098.43,0.15,51836.66,42149.8,9686.86
ORD-10082,2025-08-01,CUST-1032,Customer 60,South,Clothing,Jacket,Corporate,Partner,Credit Card,2,27270.01,0.05,51813.02,43171.26,8641.76
ORD-10083,2025-07-27,CUST-1096,Customer 120,South,Electronics,Monitor,Home Office,Retail Store,Credit Card,7,387.36,0.05,2575.94,1531.75,1044.19
ORD-10084,2025-08-25,CUST-1128,,Central,Clothing,Shoes,Consumer,Online,Cash,2,16296.83,0.0,32593.66,22450.6,10143.06
ORD-10085,2025-12-04,CUST-1146,Customer 134,South,Clothing,Shirt,Home Office,Retail Store,Debit Card,3,18386.43,0.0,55159.29,46570.78,8588.51
ORD-10086,2025-02-22,CUST-1113,Customer 56,West,Office Supplies,Pen,Corporate,Online,Debit Card,7,19869.02,0.1,125174.83,86999.29,38175.54
ORD-10087,2025-10-07,CUST-1083,Customer 110,East,Furniture,Table,Corporate,Partner,UPI,4,34803.81,0.05,132254.48,107002.37,25252.11
ORD-10088,2025-08-05,CUST-1043,Customer 104,South,Food,Packaged Food,Home Office,Partner,Cash,1,19489.05,0.05,18514.6,13453.07,5061.53
ORD-10089,2025-09-09,CUST-1116,Customer 77,South,Food,Packaged Food,Corporate,Online,Cash,5,22489.81,0.1,101204.14,67057.76,34146.38
ORD-10090,2025-07-07,CUST-1078,Customer 146,West,Office Supplies,Binder,Consumer,Online,Debit Card,9,11953.45,0.15,91443.89,58134.09,33309.8
ORD-10091,2025-02-10,CUST-1058,Customer 2,North,Clothing,Shoes,Home Office,Retail Store,Cash,8,18725.26,0.0,149802.08,91524.12,58277.96
ORD-10092,2025-06-06,CUST-1033,Customer 8,North,Electronics,Monitor,Consumer,Online,Debit Card,9,11440.75,1.25,92670.08,72147.31,20522.77
ORD-10093,2025-01-15,CUST-1014,Customer 75,Central,Clothing,Jeans,Home Office,Online,Cash,10,3752.48,0.0,37524.8,24990.1,12534.7
ORD-10094,2025-10-28,CUST-1132,Customer 125,West,Office Supplies,Binder,Corporate,Online,Credit Card,9,30212.08,0.15,231122.41,162567.49,68554.92
ORD-10095,2025-03-06,CUST-1059,Customer 38,East,Food,Packaged Food,Home Office,Retail Store,Debit Card,7,33443.82,0.1,210696.07,147002.15,63693.92
ORD-10096,2025-12-11,CUST-1083,Customer 27,East,Clothing,Shirt,Home Office,Online,Debit Card,4,31012.57,0.2,99240.22,71768.91,27471.31
ORD-10097,2025-11-23,CUST-1134,Customer 20,West,Food,Dairy,Consumer,Partner,Net Banking,5,23228.35,0.0,116141.75,94036.86,22104.89
ORD-10098,2025-01-09,CUST-1121,Customer 140,East,Electronics,Headphones,Corporate,Retail Store,Cash,1,19051.31,0.0,19051.31,16083.53,2967.78
ORD-10099,2025-12-10,CUST-1083,Customer 43,North,Food,Beverages,Consumer,Retail Store,Cash,1,43180.35,0.0,43180.35,29029.08,14151.27
ORD-10100,2025-05-09,CUST-1027,Customer 31,East,Food,Beverages,Corporate,Partner,Debit Card,3,26002.18,0.0,78006.54,62269.16,15737.38
ORD-10101,2025-05-16,CUST-1080,Customer 91,East,Furniture,Cabinet,Consumer,Partner,Credit Card,8,24011.18,0.0,192089.44,149706.51,42382.93
ORD-10102,2025-03-04,CUST-1134,Customer 61,West,Furniture,Desk,Home Office,Partner,Credit Card,2,1379.54,0.2,2207.26,1593.77,613.49
ORD-10103,2025-05-19,CUST-1013,Customer 109,West,Furniture,Desk,Consumer,Online,Credit Card,4,17128.27,0.0,68513.08,57332.71,11180.37
ORD-10104,2025-03-22,CUST-1064,Customer 91,East,Food,Dairy,Corporate,Partner,Cash,2,19071.76,0.0,38143.52,23272.98,14870.54
ORD-10105,2025-06-12,CUST-1147,Customer 95,South,Office Supplies,Binder,Corporate,Online,Net Banking,5,20001.26,0.15,85005.35,49539.36,35465.99
ORD-10106,2025-10-16,CUST-1080,Customer 143,West,Food,Packaged Food,Home Office,Retail Store,Debit Card,9,29050.6,0.05,248382.63,200243.24,48139.39
ORD-10107,2025-09-18,CUST-1123,Customer 144,Central,Office Supplies,Pen,Corporate,Retail Store,UPI,1,26726.77,0.15,22717.75,15487.71,7230.04
ORD-10108,2025-08-19,CUST-1043,Customer 13,Central,Office Supplies,Pen,Consumer,Partner,Net Banking,5,30434.46,0.0,152172.3,122360.32,29811.98
ORD-10109,2025-02-10,CUST-1089,Customer 113,North,Furniture,Table,Home Office,Online,UPI,9,38267.67,0.05,327188.58,267616.39,59572.19
ORD-10110,2025-01-28,CUST-1148,Customer 35,East,Clothing,Shoes,Corporate,Partner,Net Banking,1,40667.99,0.0,40667.99,23129.4,17538.59
ORD-10111,2025-05-15,CUST-1095,Customer 149,South,Electronics,Mobile,Corporate,Partner,Credit Card,9,35934.34,0.0,323409.06,263591.14,59817.92
ORD-10112,2025-07-20,CUST-1002,Customer 48,North,Furniture,Chair,Consumer,Online,Cash,8,47780.63,0.2,305796.03,209316.07,96479.96
ORD-10113,2025-11-24,CUST-1120,Customer 35,East,Furniture,Cabinet,Consumer,Partner,UPI,4,1009.81,0.0,4039.24,2840.11,1199.13
ORD-10114,2025-09-25,CUST-1022,Customer 86,West,Clothing,Jeans,Home Office,Retail Store,Net Banking,10,9869.32,0.1,88823.88,65550.05,23273.83
ORD-10115,2025-02-02,CUST-1115,Customer 114,Central,Electronics,Mobile,Corporate,Partner,Cash,5,477.39,0.05,2267.6,1877.38,390.22
ORD-10116,2025-02-17,CUST-1057,Customer 100,South,Food,Snacks,Consumer,Online,UPI,5,32408.99,0.05,153942.7,85551.32,68391.38
ORD-10117,2025-03-03,CUST-1072,Customer 99,Central,Food,Snacks,Home Office,Online,Debit Card,6,44911.72,0.15,229049.77,158743.64,70306.13
ORD-10118,2025-08-04,CUST-1007,Customer 3,West,Furniture,Table,Corporate,Retail Store,Net Banking,7,12249.77,0.0,85748.39,64852.93,20895.46
ORD-10119,2025-10-20,CUST-1119,Customer 85,East,Electronics,Monitor,Corporate,Online,Debit Card,8,46359.02,0.1,,255950.33,77834.61
ORD-10120,2025-04-09,CUST-1114,Customer 125,West,Furniture,Cabinet,Home Office,Online,Credit Card,8,3107.34,0.2,19886.98,15069.55,4817.43
ORD-10121,2025-06-21,CUST-1016,Customer 138,West,Office Supplies,Binder,Home Office,Retail Store,Debit Card,2,46728.36,0.1,84111.05,49653.32,34457.73
ORD-10122,2025-12-26,CUST-1083,Customer 83,Central,Furniture,Cabinet,Consumer,Partner,Debit Card,9,17645.97,0.2,127050.98,81289.59,45761.39
ORD-10123,2025-08-02,CUST-1072,Customer 25,South,Furniture,Cabinet,Corporate,Retail Store,Net Banking,7,5160.9,0.0,36126.3,23757.18,12369.12
ORD-10124,2025-02-04,CUST-1124,Customer 68,West,Food,Dairy,Corporate,Partner,Credit Card,4,24345.0,0.05,92511.0,73206.84,19304.16
ORD-10125,2025-08-15,CUST-1113,Customer 61,Central,Food,Dairy,Corporate,Retail Store,Debit Card,4,12913.15,0.0,51652.6,32728.53,18924.07
ORD-10126,2025-04-11,CUST-1012,Customer 29,South,Food,Dairy,Home Office,Partner,Cash,8,14315.16,0.1,103069.15,63203.19,39865.96
ORD-10127,2025-05-11,CUST-1126,Customer 127,East,Office Supplies,Paper,Consumer,Retail Store,UPI,4,15433.77,0.2,49388.06,41349.38,8038.68
ORD-10128,2025-09-14,CUST-1053,Customer 19,East,Food,Dairy,Corporate,Partner,Debit Card,6,40170.99,0.0,241025.94,133205.15,107820.79
ORD-10129,2025-01-05,CUST-1075,Customer 74,North,Electronics,Laptop,Home Office,Retail Store,Credit Card,5,27004.15,0.1,121518.68,103211.44,18307.24
ORD-10130,2025-08-06,CUST-1133,Customer 61,Central,Clothing,Shoes,Corporate,Partner,Debit Card,3,15634.25,0.0,46902.75,35319.95,11582.8
ORD-10131,2025-09-12,CUST-1027,Customer 20,South,Electronics,Headphones,Consumer,Retail Store,UPI,10,30555.66,0.1,275000.94,219599.47,55401.47
ORD-10132,2025-12-25,CUST-1140,Customer 48,West,Electronics,Mobile,Corporate,Online,Credit Card,2,35835.92,0.05,68088.25,43466.57,24621.68
ORD-10133,2025-10-10,CUST-1145,Customer 87,East,Food,Snacks,Consumer,Partner,Net Banking,9,13703.94,0.2,98668.37,54691.34,43977.03
ORD-10134,2025-07-26,CUST-1134,Customer 139,South,Clothing,Shoes,Consumer,Retail Store,Credit Card,10,20736.1,0.1,186624.9,143955.14,42669.76
ORD-10135,2025-01-15,CUST-1097,Customer 110,Central,Clothing,Jacket,Corporate,Partner,Net Banking,9,6182.12,0.05,52857.13,42298.57,10558.56
ORD-10136,2025-12-12,CUST-1097,Customer 28,North,Clothing,Jeans,Corporate,Partner,Credit Card,1,9139.35,0.0,9139.35,7056.88,2082.47
ORD-10137,2025-02-11,CUST-1057,Customer 59,East,Office Supplies,Paper,Consumer,Retail Store,UPI,10,34087.78,0.0,340877.8,202091.14,138786.66
ORD-10138,2025-06-28,CUST-1078,Customer 133,South,Food,Beverages,Home Office,Partner,UPI,3,9153.77,0.0,27461.31,21310.76,6150.55
ORD-10139,2025-03-04,CUST-1069,Customer 51,South,Clothing,Jacket,Consumer,Retail Store,Credit Card,8,26305.65,0.0,210445.2,164289.69,46155.51
ORD-10140,2025-12-18,CUST-1118,Customer 149,South,Office Supplies,Paper,Corporate,Online,Debit Card,6,35481.41,0.15,180955.19,135275.25,45679.94
ORD-10141,2025-08-19,CUST-1120,Customer 12,Central,Furniture,Desk,Corporate,Partner,UPI,5,5433.16,0.1,24449.22,19066.35,5382.87
ORD-10142,2025-08-29,CUST-1059,Customer 50,Central,Furniture,Cabinet,Home Office,Online,Net Banking,5,28408.88,0.1,127839.96,102754.75,25085.21
ORD-10143,2025-02-21,CUST-1033,Customer 132,Central,Office Supplies,Paper,Consumer,Partner,Net Banking,6,12902.48,0.0,77414.88,56828.81,20586.07
ORD-10144,2025-04-06,CUST-1062,Customer 113,West,Office Supplies,Pen,Consumer,Partner,Cash,7,48150.05,0.15,286492.8,165186.42,121306.38
ORD-10145,2025-08-10,CUST-1050,Customer 14,South,Food,Packaged Food,Consumer,Partner,Net Banking,1,24228.93,0.1,21806.04,15183.29,6622.75
ORD-10146,2025-08-19,CUST-1112,Customer 32,East,Food,Packaged Food,Corporate,Retail Store,Cash,9,40319.03,0.0,362871.27,208032.21,154839.06
ORD-10147,2025-08-25,CUST-1019,Customer 139,Central,Furniture,Chair,Consumer,Online,Credit Card,3,27556.3,0.1,74402.01,50017.71,24384.3
ORD-10148,2025-05-23,CUST-1123,Customer 146,Central,Clothing,Jeans,Home Office,Partner,Credit Card,4,2266.29,0.1,8158.64,5483.68,2674.96
ORD-10149,2025-06-20,CUST-1047,Customer 55,South,Furniture,Chair,Corporate,Retail Store,Credit Card,10,31694.25,0.0,316942.5,180594.77,136347.73
ORD-10150,2025-01-29,CUST-1033,Customer 120,Central,Clothing,Shirt,Corporate,Partner,Debit Card,1,47575.03,0.05,45196.28,29587.57,15608.71
ORD-10151,2025-02-05,CUST-1141,Customer 75,West,Clothing,Jeans,Consumer,Retail Store,Debit Card,10,30120.43,0.05,286144.08,166907.68,119236.4
ORD-10152,2025-01-13,CUST-1084,Customer 21,West,Food,Beverages,Home Office,Partner,Cash,3,40977.52,0.0,122932.56,97420.44,25512.12
ORD-10153,2025-06-09,CUST-1135,Customer 133,Central,Electronics,Monitor,Corporate,Online,Net Banking,2,44221.9,0.2,70755.04,59031.38,11723.66
ORD-10154,2025-11-23,CUST-1079,Customer 87,South,Electronics,Mobile,Corporate,Online,Net Banking,2,11481.18,0.15,19518.01,11158.35,8359.66
ORD-10155,2025-07-06,CUST-1014,Customer 59,South,Office Supplies,Binder,Consumer,Partner,Credit Card,1,10681.04,0.1,9612.94,8041.56,1571.38
ORD-10156,2025-08-31,CUST-1147,Customer 89,South,Food,Snacks,Consumer,Retail Store,UPI,8,30587.95,0.05,232468.42,164302.4,68166.02
ORD-10157,2025-03-27,CUST-1128,Customer 150,,Clothing,Shirt,Home Office,Partner,Debit Card,3,20610.32,0.05,58739.41,37585.57,21153.84
ORD-10158,2025-10-11,CUST-1054,Customer 83,Central,Electronics,Headphones,Consumer,Retail Store,Debit Card,3,42009.08,0.1,113424.52,64998.9,48425.62
ORD-10159,2025-03-07,CUST-1148,Customer 65,South,Clothing,Jeans,Home Office,Partner,Credit Card,6,45011.15,0.1,243060.21,170187.67,72872.54
ORD-10160,2025-06-19,CUST-1029,Customer 64,West,Electronics,Headphones,Corporate,Retail Store,Debit Card,8,17735.73,0.0,141885.84,111856.36,30029.48
ORD-10161,2025-02-14,CUST-1024,Customer 71,East,Electronics,Headphones,Home Office,Online,Credit Card,9,11919.84,0.1,96550.7,73583.79,22966.91
ORD-10162,2025-03-03,CUST-1082,Customer 4,East,Electronics,Monitor,Home Office,Partner,Cash,9,39048.22,0.15,298718.88,168796.42,129922.46
ORD-10163,2025-05-14,CUST-1063,Customer 143,South,Food,Packaged Food,Home Office,Online,Net Banking,4,13812.82,0.05,52488.72,30016.75,22471.97
ORD-10164,2025-10-11,CUST-1105,Customer 104,East,Furniture,Chair,Corporate,Online,UPI,5,41148.45,0.0,205742.25,138024.65,67717.6
ORD-10165,2025-01-28,CUST-1057,Customer 150,East,Clothing,Jacket,Consumer,Partner,Net Banking,2,21244.54,0.15,36115.72,23063.03,13052.69
ORD-10166,2025-04-18,CUST-1136,Customer 93,North,Food,Snacks,Corporate,Partner,Net Banking,9,33410.74,0.0,300696.66,186346.32,114350.34
ORD-10167,2025-02-13,CUST-1062,Customer 142,West,Food,Snacks,Consumer,Retail Store,Cash,8,4867.21,0.0,38937.68,24698.22,14239.46
ORD-10168,2025-12-06,CUST-1017,Customer 148,West,Food,Snacks,Home Office,Retail Store,Debit Card,3,31230.58,0.0,93691.74,74114.37,19577.37
ORD-10169,2025-10-13,CUST-1066,Customer 112,North,Food,Beverages,Home Office,Online,UPI,9,22643.21,0.05,193599.45,160449.11,33150.34
ORD-10170,2025-11-27,CUST-1006,Customer 119,North,Food,Dairy,Home Office,Retail Store,Debit Card,3,29371.76,0.15,74897.99,50296.31,24601.68
ORD-10171,2025-05-08,CUST-1058,Customer 59,East,Office Supplies,Paper,Home Office,Retail Store,Net Banking,9,8483.91,0.1,68719.67,56476.11,12243.56
ORD-10172,2025-12-14,CUST-1069,Customer 43,Central,Clothing,Shirt,Home Office,Partner,Credit Card,2,36870.0,0.0,73740.0,47669.13,26070.87
ORD-10173,2025-08-19,CUST-1062,Customer 12,East,Food,Beverages,Consumer,Retail Store,Net Banking,10,43153.57,0.15,366805.34,254170.83,112634.51
ORD-10174,2025-07-09,CUST-1082,Customer 40,North,Clothing,Shirt,Consumer,Online,Debit Card,9,10915.32,0.15,83502.2,51588.39,31913.81
