Order_ID,Order_Date,Region,Category,Product,Units,Unit_Price,Discount,Revenue,Cost,Profit,Sales_Channel
ORD0036,2025-01-27,North,Office Supplies,Notebook,5,404.93,0.05,1923.42,1477.05,446.37,Retail
ORD0037,2025-01-28,West,Accessories,Mouse,8,1118.93,0.2,7161.15,3978.86,3182.29,Partner
ORD0038,2025-01-29,North,Furniture,Cabinet,8,886.23,0.15,6026.36,4300.28,1726.08,Partner
ORD0039,2025-01-29,North,Accessories,Laptop Stand,3,348.45,0.2,836.28,457.76,378.52,Online
ORD0040,2025-01-30,East,Furniture,Bookshelf,7,314.39,0.0,2200.73,1679.12,521.61,Online
ORD0041,2025-01-31,East,Accessories,Webcam,3,21.02,0.15,53.6,39.12,14.48,Partner
ORD0042,2025-02-01,East,Office Supplies,Pen Set,6,839.42,0.1,4532.87,3784.11,748.76,Retail
ORD0043,2025-02-01,South,Furniture,Desk,6,72.81,0.0,436.86,228.97,207.89,Retail
ORD0044,2025-02-02,West,Office Supplies,Notebook,3,646.13,0.0,1938.39,1007.9,930.49,Online
ORD0045,2025-02-03,West,Furniture,Desk,7,1155.11,0.1,7277.19,4357.33,2919.86,Retail
ORD0046,2025-02-04,West,Office Supplies,Notebook,3,144.72,0.0,434.16,256.85,177.31,Partner
ORD0047,2025-02-04,West,Office Supplies,Stapler,8,1074.96,0.15,7309.73,4286.74,3022.99,Online
ORD0048,2025-02-05,East,Furniture,Desk,10,1189.9,0.2,9519.2,7778.99,1740.21,Partner
ORD0049,2025-02-06,South,Furniture,Cabinet,4,87.9,0.0,351.6,206.51,145.09,Online
ORD0050,2025-02-07,South,Furniture,Cabinet,1,1061.24,0.15,902.05,536.88,365.17,Online
ORD0051,2025-02-07,East,Electronics,Laptop,4,626.55,0.05,2380.89,1823.26,557.63,Online
ORD0052,2025-02-08,South,Accessories,Mouse,7,1089.22,0.15,6480.86,4260.58,2220.28,Online
ORD0053,2025-02-09,East,Electronics,Monitor,4,692.01,0.2,2214.43,1709.2,505.23,Retail
ORD0054,2025-02-10,West,Electronics,Keyboard,6,799.6,0.15,4077.96,2132.28,1945.68,Partner
ORD0055,2025-02-11,East,Office Supplies,Notebook,9,659.38,0.1,5340.98,3581.93,1759.05,Partner
ORD0056,2025-02-11,West,Furniture,Chair,1,1039.42,0.2,831.54,425.55,405.99,Partner
ORD0057,2025-02-12,West,Accessories,Webcam,5,884.68,0.05,4202.23,2193.26,2008.97,Online
ORD0058,2025-02-13,North,Office Supplies,Pen Set,7,632.69,0.1,3985.95,3257.53,728.42,Retail
ORD0059,2025-02-14,East,Electronics,Headphones,1,1043.77,0.15,887.2,486.84,400.36,Partner
ORD0060,2025-02-14,North,Furniture,Desk,4,305.66,0.2,978.11,671.32,306.79,Retail
ORD0061,2025-02-15,East,Office Supplies,Pen Set,6,201.45,0.05,1148.26,739.35,408.91,Online
ORD0062,2025-02-16,East,Furniture,Desk,2,205.07,0.1,369.13,229.44,139.69,Partner
ORD0063,2025-02-17,North,Office Supplies,Printer Paper,10,410.8,0.05,3902.6,3180.39,722.21,Retail
ORD0064,2025-02-17,North,Furniture,Chair,5,297.85,0.15,1265.86,642.6,623.26,Online
ORD0065,2025-02-18,East,Electronics,Headphones,10,1117.16,0.05,10613.02,7772.19,2840.83,Retail
ORD0066,2025-02-19,South,Accessories,Webcam,1,140.41,0.0,140.41,117.55,22.86,Partner
ORD0067,2025-02-20,West,Electronics,Monitor,6,843.3,0.1,4553.82,3169.73,1384.09,Partner
ORD0068,2025-02-20,North,Accessories,USB Hub,6,239.23,0.05,1363.61,1128.92,234.69,Online
ORD0069,2025-02-21,West,Furniture,Desk,4,1059.74,0.15,3603.12,1867.46,1735.66,Online
ORD0070,2025-02-22,South,Office Supplies,Notebook,8,1154.16,0.15,7848.29,5074.53,2773.76,Online
ORD0071,2025-02-23,South,Electronics,Keyboard,4,566.58,0.05,2153.0,1272.54,880.46,Retail
ORD0072,2025-02-23,South,Accessories,Laptop Stand,8,1056.7,0.15,7185.56,5430.76,1754.8,Retail
ORD0073,2025-02-24,North,Electronics,Laptop,8,21.1,0.2,135.04,113.9,21.14,Retail
ORD0074,2025-02-25,South,Accessories,Webcam,5,986.64,0.2,3946.56,2327.62,1618.94,Online
ORD0075,2025-02-26,North,Electronics,Laptop,4,285.92,0.2,914.94,666.96,247.98,Partner
ORD0076,2025-02-26,South,Accessories,Webcam,2,1091.81,0.0,2183.62,1243.21,940.41,Partner
ORD0077,2025-02-27,West,Accessories,Laptop Stand,3,16.33,0.05,46.54,32.48,14.06,Retail
ORD0078,2025-02-28,West,Furniture,Bookshelf,3,674.08,0.0,2022.24,1339.48,682.76,Retail
ORD0079,2025-03-01,East,Accessories,Mouse,4,911.61,0.15,3099.47,2604.18,495.29,Partner
ORD0080,2025-03-02,West,Furniture,Bookshelf,4,321.55,0.0,1286.2,917.04,369.16,Partner
ORD0081,2025-03-02,East,Accessories,Mouse,10,243.86,0.15,2072.81,1289.97,782.84,Retail
ORD0082,2025-03-03,West,Office Supplies,Printer Paper,5,114.66,0.15,487.3,263.11,224.19,Retail
ORD0083,2025-03-04,North,Office Supplies,Pen Set,4,401.82,0.1,1446.55,799.85,646.7,Partner
ORD0084,2025-03-05,West,Office Supplies,Notebook,10,678.42,0.2,5427.36,3141.69,2285.67,Online
ORD0085,2025-03-05,East,Accessories,Webcam,8,152.27,0.15,1035.44,608.67,426.77,Retail
ORD0086,2025-03-06,East,Furniture,Bookshelf,6,461.38,0.1,2491.45,1987.47,503.98,Partner
ORD0087,2025-03-07,South,Furniture,Bookshelf,6,25.75,0.2,123.6,86.08,37.52,Partner
ORD0088,2025-03-08,North,Accessories,Mouse,8,985.14,0.15,6698.95,4576.63,2122.32,Partner
ORD0089,2025-03-08,West,Office Supplies,Notebook,7,167.21,0.15,994.9,537.41,457.49,Partner
ORD0090,2025-03-09,South,Office Supplies,Notebook,10,350.76,0.0,3507.6,2809.76,697.84,Online
ORD0091,2025-03-10,West,Furniture,Chair,10,36.84,0.0,368.4,277.4,91.0,Partner
ORD0092,2025-03-11,West,Office Supplies,Notebook,8,527.21,0.2,3374.14,1766.98,1607.16,Retail
ORD0093,2025-03-11,South,Electronics,Keyboard,2,1010.54,0.15,1717.92,1284.56,433.36,Online
ORD0094,2025-03-12,South,Furniture,Bookshelf,9,479.7,0.05,4101.44,2830.97,1270.47,Partner
ORD0095,2025-03-13,South,Office Supplies,Notebook,1,227.7,0.0,227.7,120.36,107.34,Online
ORD0096,2025-03-14,South,Furniture,Desk,8,908.13,0.2,5812.03,3838.29,1973.74,Retail
ORD0097,2025-03-14,South,Electronics,Headphones,4,949.74,0.15,3229.12,2162.36,1066.76,Partner
ORD0098,2025-03-15,West,Furniture,Bookshelf,4,220.9,0.15,751.06,419.11,331.95,Retail
ORD0099,2025-03-16,South,Furniture,Chair,5,928.46,0.05,4410.19,3664.84,745.35,Partner
ORD0100,2025-03-17,North,Furniture,Cabinet,8,1137.55,0.2,7280.32,5805.99,1474.33,Partner
ORD0101,2025-03-17,East,Furniture,Desk,5,212.16,0.15,901.68,661.98,239.7,Partner
ORD0102,2025-03-18,South,Electronics,Laptop,8,928.62,0.0,7428.96,4916.51,2512.45,Partner
ORD0103,2025-03-19,South,Accessories,USB Hub,10,854.66,0.05,8119.27,5229.77,2889.5,Partner
ORD0104,2025-03-20,West,Furniture,Desk,1,576.19,0.2,460.95,335.5,125.45,Online
ORD0105,2025-03-21,South,Furniture,Chair,10,83.64,0.05,794.58,548.98,245.6,Partner
ORD0106,2025-03-21,South,Office Supplies,Pen Set,9,103.51,0.0,931.59,486.1,445.49,Partner
ORD0107,2025-03-22,South,Furniture,Desk,6,1025.11,0.2,4920.53,3342.89,1577.64,Online
ORD0108,2025-03-23,West,Office Supplies,Pen Set,3,1188.33,0.05,3386.74,2649.25,737.49,Online
ORD0109,2025-03-24,South,Accessories,Mouse,8,816.12,0.1,5876.06,3882.51,1993.55,Online
ORD0110,2025-03-24,East,Electronics,Laptop,9,543.46,0.0,4891.14,2534.51,2356.63,Online
ORD0111,2025-03-25,West,Electronics,Laptop,6,782.37,0.0,4694.22,3638.95,1055.27,Online
ORD0112,2025-03-26,East,Accessories,Webcam,7,719.36,0.0,5035.52,2872.65,2162.87,Online
ORD0113,2025-03-27,West,Electronics,Monitor,1,469.58,0.1,422.62,249.56,173.06,Partner
ORD0114,2025-03-27,South,Accessories,USB Hub,5,92.77,0.1,417.46,232.8,184.66,Partner
ORD0115,2025-03-28,East,Accessories,Mouse,5,988.49,0.15,4201.08,2586.08,1615.0,Retail
ORD0116,2025-03-29,West,Accessories,Mouse,10,455.62,0.05,4328.39,3310.63,1017.76,Partner
ORD0117,2025-03-30,North,Electronics,Monitor,4,985.26,0.15,3349.88,2283.9,1065.98,Partner
ORD0118,2025-03-30,South,Office Supplies,Notebook,6,314.22,0.05,1791.05,1023.96,767.09,Online
ORD0119,2025-03-31,West,Accessories,Webcam,7,16.22,0.1,102.19,82.49,19.7,Online
ORD0120,2025-04-01,North,Furniture,Desk,9,203.34,0.1,1647.05,1330.58,316.47,Partner
ORD0121,2025-04-02,West,Electronics,Keyboard,1,570.22,0.15,484.69,390.03,94.66,Retail
ORD0122,2025-04-02,North,Accessories,Mouse,6,1134.0,0.2,5443.2,3176.54,2266.66,Online
ORD0123,2025-04-03,South,Accessories,Mouse,7,136.1,0.15,809.8,532.79,277.01,Partner
ORD0124,2025-04-04,East,Furniture,Cabinet,3,1027.24,0.05,2927.63,2473.1,454.53,Partner
ORD0125,2025-04-05,North,Office Supplies,Printer Paper,8,639.52,0.15,4348.74,3349.42,999.32,Retail
ORD0126,2025-04-05,West,Office Supplies,Notebook,5,993.72,0.0,4968.6,2531.54,2437.06,Retail
ORD0127,2025-04-06,South,Office Supplies,Notebook,9,368.57,0.05,3151.27,1647.55,1503.72,Online
ORD0128,2025-04-07,North,Accessories,Laptop Stand,5,1010.34,0.05,4799.12,3178.82,1620.3,Retail
ORD0129,2025-04-08,West,Accessories,Laptop Stand,9,930.79,0.2,6701.69,5483.5,1218.19,Partner
ORD0130,2025-04-09,West,Accessories,Webcam,10,287.61,0.1,2588.49,1782.29,806.2,Partner
ORD0131,2025-04-09,West,Electronics,Headphones,4,170.63,0.05,648.39,437.17,211.22,Retail
ORD0132,2025-04-10,North,Furniture,Bookshelf,9,1043.64,0.1,8453.48,4538.81,3914.67,Retail
ORD0133,2025-04-11,North,Accessories,Laptop Stand,5,1156.44,0.15,4914.87,3587.23,1327.64,Retail
ORD0134,2025-04-12,North,Furniture,Bookshelf,10,52.09,0.0,520.9,410.33,110.57,Retail
ORD0135,2025-04-12,East,Furniture,Chair,9,881.56,0.2,6347.23,4018.73,2328.5,Online
ORD0136,2025-04-13,North,Office Supplies,Printer Paper,3,1092.79,0.1,2950.53,2276.23,674.3,Retail
ORD0137,2025-04-14,North,Electronics,Monitor,4,1030.97,0.05,3917.69,3281.33,636.36,Online
ORD0138,2025-04-15,North,Accessories,Webcam,9,1157.96,0.1,9379.48,5358.67,4020.81,Partner
ORD0139,2025-04-15,East,Office Supplies,Printer Paper,10,915.71,0.05,8699.25,5943.03,2756.22,Retail
ORD0140,2025-04-16,North,Office Supplies,Pen Set,6,539.12,0.1,2911.25,1748.2,1163.05,Online
ORD0141,2025-04-17,West,Accessories,USB Hub,2,384.66,0.05,730.85,568.24,162.61,Retail
ORD0142,2025-04-18,North,Furniture,Chair,7,395.08,0.15,2350.73,1650.58,700.15,Partner
ORD0143,2025-04-18,West,Office Supplies,Stapler,2,873.44,0.05,1659.54,1198.36,461.18,Partner
ORD0144,2025-04-19,West,Furniture,Desk,2,898.82,0.05,1707.76,1330.81,376.95,Partner
ORD0145,2025-04-20,West,Electronics,Monitor,1,252.43,0.0,252.43,161.2,91.23,Retail
ORD0146,2025-04-21,East,Furniture,Cabinet,3,1043.73,0.05,2974.63,2440.03,534.6,Retail
ORD0147,2025-04-21,East,Electronics,Laptop,6,862.18,0.0,5173.08,3551.63,1621.45,Online
ORD0148,2025-04-22,East,Furniture,Chair,8,681.86,0.2,4363.9,2423.2,1940.7,Partner
ORD0149,2025-04-23,North,Office Supplies,Printer Paper,9,573.77,0.0,5163.93,3839.72,1324.21,Retail
ORD0150,2025-04-24,West,Office Supplies,Pen Set,7,658.73,0.15,3919.44,3047.92,871.52,Partner
ORD0151,2025-04-24,East,Electronics,Laptop,4,203.71,0.0,814.84,497.76,317.08,Partner
ORD0152,2025-04-25,East,Accessories,Mouse,6,256.39,0.2,1230.67,984.55,246.12,Online
ORD0153,2025-04-26,North,Electronics,Headphones,5,123.03,0.15,522.88,427.27,95.61,Online
ORD0154,2025-04-27,East,Electronics,Keyboard,8,197.08,0.1,1418.98,847.01,571.97,Online
ORD0155,2025-04-28,North,Furniture,Bookshelf,1,552.63,0.1,497.37,419.9,77.47,Online
ORD0156,2025-04-28,South,Furniture,Bookshelf,1,643.47,0.0,643.47,353.43,290.04,Partner
ORD0157,2025-04-29,East,Electronics,Keyboard,6,36.17,0.0,217.02,123.85,93.17,Online
ORD0158,2025-04-30,South,Office Supplies,Notebook,10,959.21,0.2,7673.68,4331.63,3342.05,Online
ORD0159,2025-05-01,North,Furniture,Desk,2,363.59,0.2,581.74,472.89,108.85,Online
ORD0160,2025-05-01,West,Accessories,Webcam,5,1095.53,0.05,5203.77,3793.56,1410.21,Online
ORD0161,2025-05-02,East,Furniture,Chair,1,1161.5,0.2,929.2,514.07,415.13,Partner
ORD0162,2025-05-03,North,Furniture,Bookshelf,7,234.77,0.05,1561.22,1021.21,540.01,Online
ORD0163,2025-05-04,West,Accessories,USB Hub,1,562.59,0.15,478.2,342.08,136.12,Partner
ORD0164,2025-05-04,West,Electronics,Keyboard,4,16.46,0.0,65.84,34.84,31.0,Retail
ORD0165,2025-05-05,South,Accessories,Webcam,9,724.02,0.15,5538.75,4479.99,1058.76,Partner
ORD0166,2025-05-06,North,Electronics,Headphones,1,734.66,0.2,587.73,459.17,128.56,Partner
ORD0167,2025-05-07,West,Electronics,Headphones,4,308.33,0.15,1048.32,709.53,338.79,Online
ORD0168,2025-05-07,East,Electronics,Monitor,6,676.72,0.15,3451.27,2893.87,557.4,Retail
ORD0169,2025-05-08,East,Accessories,Webcam,6,282.27,0.15,1439.58,930.28,509.3,Retail
ORD0170,2025-05-09,South,Electronics,Monitor,8,205.58,0.2,1315.71,1111.04,204.67,Retail
ORD0171,2025-05-10,West,Office Supplies,Printer Paper,1,787.05,0.15,668.99,490.89,178.1,Retail
ORD0172,2025-05-10,North,Accessories,Webcam,7,401.22,0.05,2668.11,1926.74,741.37,Partner
ORD0173,2025-05-11,East,Office Supplies,Printer Paper,1,714.46,0.2,571.57,318.98,252.59,Retail
ORD0174,2025-05-12,West,Electronics,Keyboard,7,528.4,0.15,3143.98,2542.46,601.52,Partner
ORD0175,2025-05-13,West,Furniture,Bookshelf,3,1181.46,0.2,2835.5,1842.0,993.5,Partner
ORD0176,2025-05-13,South,Electronics,Keyboard,8,192.25,0.1,1384.2,770.7,613.5,Partner
ORD0177,2025-05-14,East,Office Supplies,Pen Set,3,565.55,0.05,1611.82,813.02,798.8,Retail
ORD0178,2025-05-15,East,Office Supplies,Printer Paper,1,821.34,0.15,698.14,485.85,212.29,Online
ORD0179,2025-05-16,North,Accessories,Laptop Stand,8,483.72,0.1,3482.78,2384.28,1098.5,Online
ORD0180,2025-05-17,East,Furniture,Desk,3,1170.02,0.1,3159.05,2374.89,784.16,Retail
ORD0181,2025-05-17,North,Accessories,Webcam,2,870.44,0.2,1392.7,1130.3,262.4,Online
ORD0182,2025-05-18,East,Office Supplies,Notebook,1,793.53,0.1,714.18,376.94,337.24,Online
ORD0183,2025-05-19,South,Electronics,Headphones,3,912.12,0.05,2599.54,1965.31,634.23,Partner
ORD0184,2025-05-20,East,Furniture,Bookshelf,2,1143.89,0.05,2173.39,1229.26,944.13,Partner
ORD0185,2025-05-20,North,Electronics,Headphones,2,1090.77,0.0,2181.54,1746.02,435.52,Retail
ORD0186,2025-05-21,North,Electronics,Monitor,6,873.28,0.05,4977.7,3915.82,1061.88,Retail
ORD0187,2025-05-22,South,Furniture,Bookshelf,1,902.76,0.1,812.48,560.02,252.46,Online
ORD0188,2025-05-23,East,Accessories,Webcam,2,187.92,0.05,357.05,267.28,89.77,Partner
ORD0189,2025-05-23,East,Electronics,Keyboard,6,136.81,0.2,656.69,400.6,256.09,Retail
ORD0190,2025-05-24,South,Office Supplies,Notebook,3,691.52,0.0,2074.56,1379.39,695.17,Retail
ORD0191,2025-05-25,East,Electronics,Laptop,4,36.77,0.1,132.37,104.25,28.12,Retail
ORD0192,2025-05-26,East,Furniture,Desk,1,586.59,0.0,586.59,387.59,199.0,Retail
ORD0193,2025-05-26,North,Furniture,Cabinet,8,264.26,0.1,1902.67,1189.61,713.06,Retail
ORD0194,2025-05-27,East,Furniture,Chair,7,425.03,0.2,2380.17,1601.79,778.38,Retail
ORD0195,2025-05-28,East,Accessories,Laptop Stand,7,934.33,0.0,6540.31,5166.11,1374.2,Online
ORD0196,2025-05-29,South,Electronics,Laptop,3,1130.37,0.15,2882.44,1779.4,1103.04,Partner
ORD0197,2025-05-29,South,Accessories,Webcam,10,100.81,0.1,907.29,508.82,398.47,Partner
ORD0198,2025-05-30,West,Accessories,Mouse,10,648.08,0.15,5508.68,4127.13,1381.55,Retail
ORD0199,2025-05-31,North,Furniture,Cabinet,3,1060.8,0.0,3182.4,2511.21,671.19,Partner
ORD0200,2025-06-01,East,Furniture,Cabinet,2,112.77,0.15,191.71,102.61,89.1,Partner
ORD0201,2025-06-01,East,Accessories,Laptop Stand,1,992.05,0.15,843.24,492.42,350.82,Partner
ORD0202,2025-06-02,West,Electronics,Laptop,7,438.99,0.0,3072.93,1689.16,1383.77,Retail
ORD0203,2025-06-03,East,Office Supplies,Printer Paper,7,396.68,0.2,2221.41,1381.23,840.18,Retail
ORD0204,2025-06-04,North,Accessories,Webcam,2,1173.3,0.15,1994.61,1311.7,682.91,Partner
ORD0205,2025-06-05,West,Electronics,Laptop,7,253.02,0.15,1505.47,1147.3,358.17,Partner
ORD0206,2025-06-05,North,Furniture,Chair,8,836.43,0.2,5353.15,3896.57,1456.58,Retail
ORD0207,2025-06-06,West,Furniture,Desk,1,988.41,0.15,840.15,602.66,237.49,Online
ORD0208,2025-06-07,West,Electronics,Monitor,9,63.8,0.15,488.07,304.23,183.84,Partner
ORD0209,2025-06-08,South,Office Supplies,Pen Set,7,809.41,0.15,4815.99,3826.34,989.65,Online
ORD0210,2025-06-08,North,Furniture,Bookshelf,3,1142.59,0.05,3256.38,2165.33,1091.05,Partner
ORD0211,2025-06-09,East,Furniture,Cabinet,8,162.2,0.2,1038.08,874.78,163.3,Online
ORD0212,2025-06-10,East,Furniture,Bookshelf,7,1077.02,0.15,6408.27,4626.45,1781.82,Online
ORD0213,2025-06-11,North,Electronics,Keyboard,8,719.81,0.2,4606.78,2506.98,2099.8,Online
ORD0214,2025-06-11,East,Accessories,USB Hub,6,745.68,0.1,4026.67,2966.3,1060.37,Retail
ORD0215,2025-06-12,East,Furniture,Desk,9,741.34,0.1,6004.85,3685.7,2319.15,Online
ORD0216,2025-06-13,North,Accessories,USB Hub,5,369.12,0.15,1568.76,1161.22,407.54,Online
ORD0217,2025-06-14,West,Office Supplies,Pen Set,3,1123.21,0.2,2695.7,1413.56,1282.14,Online
ORD0218,2025-06-14,North,Furniture,Cabinet,3,1137.61,0.2,2730.26,1532.25,1198.01,Partner
ORD0219,2025-06-15,West,Furniture,Bookshelf,1,755.99,0.2,604.79,483.53,121.26,Online
ORD0220,2025-06-16,East,Office Supplies,Pen Set,8,943.36,0.05,7169.54,4154.84,3014.7,Partner
ORD0221,2025-06-17,East,Furniture,Chair,2,740.53,0.1,1332.95,1056.98,275.97,Online
ORD0222,2025-06-17,East,Accessories,Laptop Stand,3,589.01,0.2,1413.62,844.99,568.63,Online
ORD0223,2025-06-18,South,Electronics,Headphones,8,798.07,0.2,5107.65,3703.09,1404.56,Retail
ORD0224,2025-06-19,West,Accessories,Laptop Stand,8,670.31,0.05,5094.36,3784.87,1309.49,Partner
ORD0225,2025-06-20,South,Electronics,Headphones,4,723.01,0.05,2747.44,1866.69,880.75,Online
ORD0226,2025-06-20,South,Electronics,Headphones,4,943.84,0.2,3020.29,1832.89,1187.4,Partner
ORD0227,2025-06-21,North,Accessories,Laptop Stand,5,584.87,0.0,2924.35,1679.82,1244.53,Partner
ORD0228,2025-06-22,South,Accessories,Mouse,6,63.29,0.2,303.79,155.42,148.37,Retail
ORD0229,2025-06-23,North,Accessories,USB Hub,5,209.34,0.2,837.36,507.76,329.6,Retail
ORD0230,2025-06-24,North,Accessories,Laptop Stand,7,534.75,0.05,3556.09,2590.99,965.1,Retail
ORD0231,2025-06-24,South,Office Supplies,Pen Set,2,873.92,0.05,1660.45,1375.53,284.92,Retail
ORD0232,2025-06-25,West,Furniture,Bookshelf,7,718.04,0.2,4021.02,3236.61,784.41,Retail
ORD0233,2025-06-26,West,Electronics,Laptop,10,785.6,0.2,6284.8,4827.5,1457.3,Retail
ORD0234,2025-06-27,West,Accessories,Laptop Stand,7,582.95,0.2,3264.52,2533.13,731.39,Retail
ORD0235,2025-06-27,West,Accessories,Webcam,1,744.65,0.05,707.42,518.36,189.06,Retail
ORD0236,2025-06-28,West,Accessories,Mouse,7,404.89,0.2,2267.38,1340.25,927.13,Online
ORD0237,2025-06-29,South,Office Supplies,Printer Paper,5,572.17,0.2,2288.68,1871.04,417.64,Partner
ORD0238,2025-06-30,South,Accessories,USB Hub,3,896.97,0.15,2287.27,1680.59,606.68,Retail
ORD0239,2025-06-30,East,Accessories,USB Hub,3,1048.12,0.0,3144.36,2188.96,955.4,Retail
ORD0240,2025-07-01,West,Accessories,Mouse,4,528.88,0.1,1903.97,1025.95,878.02,Partner
ORD0241,2025-07-02,South,Furniture,Desk,2,66.74,0.0,133.48,87.63,45.85,Online
ORD0242,2025-07-03,East,Office Supplies,Printer Paper,2,206.58,0.15,351.19,232.18,119.01,Partner
ORD0243,2025-07-03,West,Accessories,Laptop Stand,1,39.72,0.1,35.75,28.69,7.06,Partner
ORD0244,2025-07-04,North,Electronics,Monitor,5,789.12,0.2,3156.48,2182.16,974.32,Retail
ORD0245,2025-07-05,East,Electronics,Laptop,4,408.79,0.15,1389.89,880.0,509.89,Partner
ORD0246,2025-07-06,South,Electronics,Monitor,10,657.84,0.2,5262.72,4430.58,832.14,Partner
ORD0247,2025-07-06,North,Office Supplies,Notebook,2,599.53,0.05,1139.11,613.7,525.41,Retail
ORD0248,2025-07-07,North,Office Supplies,Printer Paper,3,111.61,0.15,284.61,184.4,100.21,Retail
ORD0249,2025-07-08,North,Electronics,Laptop,7,492.86,0.05,3277.52,1686.97,1590.55,Retail
ORD0250,2025-07-09,East,Accessories,Mouse,7,276.36,0.15,1644.34,1248.0,396.34,Retail
ORD0251,2025-07-09,South,Office Supplies,Notebook,4,510.8,0.15,1736.72,1426.41,310.31,Partner
ORD0252,2025-07-10,North,Electronics,Headphones,5,256.24,0.05,1217.14,727.87,489.27,Partner
ORD0253,2025-07-11,West,Electronics,Monitor,5,1010.94,0.1,4549.23,3641.29,907.94,Online
ORD0254,2025-07-12,North,Accessories,Webcam,6,221.42,0.0,1328.52,800.14,528.38,Online
ORD0255,2025-07-13,North,Furniture,Chair,9,1153.52,0.2,8305.34,6800.16,1505.18,Partner
ORD0256,2025-07-13,East,Office Supplies,Notebook,2,507.85,0.15,863.34,659.49,203.85,Online
ORD0257,2025-07-14,East,Accessories,Webcam,5,1017.8,0.2,4071.2,3182.53,888.67,Partner
ORD0258,2025-07-15,South,Electronics,Monitor,3,760.09,0.05,2166.26,1096.78,1069.48,Online
ORD0259,2025-07-16,West,Electronics,Laptop,4,886.39,0.2,2836.45,2374.06,462.39,Retail
