Campaign_ID,Date,Channel,Campaign_Type,Impressions,Clicks,Leads,Conversions,Spend,Revenue,CTR,Conversion_Rate,ROAS
CAM0024,2025-11-30,Instagram,Retargeting,451164,25821,3295,969,30135.81,290888.43,5.72,3.75,9.65
CAM0025,2025-10-01,Instagram,Conversion,152748,3615,3457,898,45863.64,12566.8,2.37,24.84,0.27
CAM0026,2025-10-11,Facebook,Lead Generation,99791,4554,4001,913,7585.07,226297.67,4.56,20.05,29.83
CAM0027,2025-03-21,Email,Awareness,167586,7869,2480,52,79969.39,158005.62,4.7,0.66,1.98
CAM0028,2025-06-29,Instagram,Lead Generation,375862,22973,948,45,24708.54,111217.58,6.11,0.2,4.5
CAM0029,2025-09-29,Facebook,Retargeting,27650,8484,4909,293,72678.51,20686.81,30.68,3.45,0.28
CAM0030,2025-03-18,Google Ads,Conversion,355434,13827,4016,938,7300.66,187027.91,3.89,6.78,25.62
CAM0031,2025-08-09,LinkedIn,Awareness,82701,3634,1945,812,95532.31,175980.88,4.39,22.34,1.84
CAM0032,2025-10-09,Email,Retargeting,277827,855,643,465,19704.99,84984.1,0.31,54.39,4.31
CAM0033,2025-01-28,Facebook,Awareness,234164,26360,1263,885,88332.84,273156.29,11.26,3.36,3.09
CAM0034,2025-12-27,YouTube,Awareness,458035,19009,1092,550,81042.58,91928.89,4.15,2.89,1.13
CAM0035,2025-03-18,Google Ads,Retargeting,85978,17311,2153,867,96802.06,135467.9,20.13,5.01,1.4
CAM0036,2025-06-13,LinkedIn,Lead Generation,9860,25565,1295,380,48050.12,163584.97,259.28,1.49,3.4
CAM0037,2025-01-09,Google Ads,Retargeting,139801,21232,363,743,72876.03,30969.33,15.19,3.5,0.42
CAM0038,2025-06-24,Facebook,Retargeting,36351,27131,1895,478,37385.71,279716.35,74.64,1.76,7.48
CAM0039,2025-11-03,Instagram,Lead Generation,329888,18817,1828,262,18844.64,112986.31,5.7,1.39,6.0
CAM0040,2025-03-17,LinkedIn,Conversion,160418,21430,2530,580,44586.06,25152.98,13.36,2.71,0.56
CAM0041,2025-09-02,Google Ads,Retargeting,387342,8402,4018,179,16992.03,116800.06,2.17,2.13,6.87
CAM0042,2025-05-02,Instagram,Awareness,341299,13007,3032,357,98213.44,180460.56,3.81,2.74,1.84
CAM0043,2025-07-04,Email,Retargeting,126449,24530,2594,419,10076.53,154582.15,19.4,1.71,15.34
CAM0044,2025-02-01,Facebook,Retargeting,81700,9084,1557,698,59126.57,208668.05,11.12,7.68,3.53
CAM0045,2025-09-07,Facebook,Awareness,240486,14485,4028,953,62833.15,17589.7,6.02,6.58,0.28
CAM0046,2025-02-26,LinkedIn,Lead Generation,274099,7281,4214,201,54038.91,86077.64,2.66,2.76,1.59
CAM0047,2025-11-06,Google Ads,Conversion,463858,13545,1378,902,66387.5,245949.94,2.92,6.66,3.7
CAM0048,2025-05-24,Email,Conversion,262571,12975,3347,13,12059.99,24888.21,4.94,0.1,2.06
CAM0049,2025-11-14,YouTube,Awareness,468506,27319,1767,443,55724.34,256790.3,5.83,1.62,4.61
CAM0050,2025-03-25,LinkedIn,Lead Generation,442509,3514,1527,726,29077.65,28476.93,0.79,20.66,0.98
CAM0051,2025-02-25,YouTube,Retargeting,197408,15105,4927,732,94047.52,250501.81,7.65,4.85,2.66
CAM0052,2025-10-06,LinkedIn,Retargeting,288806,9601,3494,286,76326.13,108875.73,3.32,2.98,1.43
CAM0053,2025-09-30,Google Ads,Retargeting,11408,14345,3695,756,97265.19,184050.51,125.75,5.27,1.89
CAM0054,2025-06-15,Email,Retargeting,176475,6557,3062,868,4236.83,46713.25,3.72,13.24,11.03
CAM0055,2025-06-07,Google Ads,Retargeting,268369,6849,2706,258,28870.75,20784.45,2.55,3.77,0.72
CAM0056,2025-09-06,Facebook,Awareness,410412,396,200,570,19944.55,65565.52,0.1,143.94,3.29
CAM0057,2025-07-05,YouTube,Retargeting,468002,9921,942,548,1609.88,39228.29,2.12,5.52,24.37
CAM0058,2025-03-19,Instagram,Retargeting,151444,17052,4247,840,24611.41,94409.36,11.26,4.93,3.84
CAM0059,2025-01-22,Facebook,Lead Generation,262320,5383,3248,941,68038.21,154800.59,2.05,17.48,2.28
CAM0060,2025-04-18,Facebook,Retargeting,22279,13219,2225,490,23493.35,177039.08,59.33,3.71,7.54
CAM0061,2025-09-30,YouTube,Conversion,115401,7764,575,498,51145.84,237170.56,6.73,6.41,4.64
CAM0062,2025-09-09,LinkedIn,Awareness,231801,29381,1144,905,88837.9,197215.73,12.68,3.08,2.22
CAM0063,2025-01-15,Facebook,Awareness,252380,28787,753,894,69528.91,183018.74,11.41,3.11,2.63
CAM0064,2025-10-31,Email,Awareness,452456,7611,682,705,39765.59,124122.83,1.68,9.26,3.12
CAM0065,2025-06-09,Facebook,Conversion,359548,5565,2921,333,37560.66,142668.72,1.55,5.98,3.8
CAM0066,2025-07-24,Email,Retargeting,174259,24747,540,562,45845.71,124941.73,14.2,2.27,2.73
CAM0067,2025-04-23,Google Ads,Awareness,252145,12657,3031,975,18115.62,252807.64,5.02,7.7,13.96
CAM0068,2025-06-17,LinkedIn,Conversion,315625,4482,571,32,63583.08,69770.14,1.42,0.71,1.1
CAM0069,2025-12-19,Email,Lead Generation,164547,16549,311,610,36733.21,2710.56,10.06,3.69,0.07
CAM0070,2025-09-10,Facebook,Retargeting,49552,17363,3777,43,85310.35,195744.65,35.04,0.25,2.29
CAM0071,2025-07-05,LinkedIn,Conversion,204041,24743,4290,893,75776.99,61536.19,12.13,3.61,0.81
CAM0072,2025-12-13,LinkedIn,Retargeting,212606,9508,519,351,61246.06,267144.43,4.47,3.69,4.36
CAM0073,2025-08-15,Email,Lead Generation,494885,23706,3455,334,36738.12,257854.85,4.79,1.41,7.02
CAM0074,2025-01-16,Email,Conversion,235677,27703,2213,822,21388.22,23941.48,11.75,2.97,1.12
CAM0075,2025-06-05,Instagram,Retargeting,266869,13790,2844,559,77727.11,32810.13,5.17,4.05,0.42
CAM0076,2025-12-20,Instagram,Conversion,405074,5169,804,270,48897.71,149056.31,1.28,5.22,3.05
CAM0077,2025-04-21,LinkedIn,Awareness,210558,19723,2489,944,22862.63,183157.58,9.37,4.79,8.01
CAM0078,2025-01-01,YouTube,Retargeting,79474,11772,1533,823,19919.87,83197.59,14.81,6.99,4.18
CAM0079,2025-02-10,YouTube,Conversion,292312,16991,4866,413,16957.39,215322.52,5.81,2.43,12.7
CAM0080,2025-02-17,Instagram,Awareness,37099,7804,2204,943,77827.54,178879.89,21.04,12.08,2.3
CAM0081,2025-04-18,Facebook,Lead Generation,207252,28390,2538,575,23284.22,98122.41,13.7,2.03,4.21
CAM0082,2025-06-10,Google Ads,Retargeting,245454,27560,444,19,52900.91,8586.07,11.23,0.07,0.16
CAM0083,2025-06-10,LinkedIn,Retargeting,328599,17609,2048,347,45428.86,225294.93,5.36,1.97,4.96
CAM0084,2025-12-25,Google Ads,Lead Generation,59240,17369,1716,905,58171.28,65211.35,29.32,5.21,1.12
CAM0085,2025-05-08,Instagram,Awareness,341940,19325,78,613,87776.91,250507.65,5.65,3.17,2.85
CAM0086,2025-07-29,Email,Lead Generation,321736,8075,1914,37,86840.87,126666.79,2.51,0.46,1.46
CAM0087,2025-05-31,LinkedIn,Retargeting,265746,12169,3969,619,45382.07,173546.16,4.58,5.09,3.82
CAM0088,2025-09-12,Instagram,Conversion,389325,6665,2961,92,2028.94,262011.67,1.71,1.38,129.14
CAM0089,2025-08-06,Facebook,Awareness,257051,22567,4659,820,42931.16,259223.28,8.78,3.63,6.04
CAM0090,2025-01-30,LinkedIn,Awareness,445674,4970,2723,185,60816.26,112084.35,1.12,3.72,1.84
CAM0091,2025-02-14,LinkedIn,Awareness,106611,19009,3379,728,55997.59,63457.78,17.83,3.83,1.13
CAM0092,2025-03-21,YouTube,Lead Generation,63046,9217,4605,28,65307.94,232768.68,14.62,0.3,3.56
CAM0093,2025-02-08,Email,Lead Generation,255468,20699,3737,548,15830.54,130490.98,8.1,2.65,8.24
CAM0094,2025-08-28,LinkedIn,Conversion,21488,2038,2414,372,64830.24,58420.56,9.48,18.25,0.9
CAM0095,2025-02-14,Email,Conversion,194913,28490,3335,832,18673.84,271423.18,14.62,2.92,14.53
CAM0096,2025-03-19,Instagram,Awareness,385665,11654,3556,530,75177.14,60233.15,3.02,4.55,0.8
CAM0097,2025-12-03,Facebook,Conversion,398611,29259,2313,345,34239.22,8716.34,7.34,1.18,0.25
CAM0098,2025-12-15,Facebook,Lead Generation,188741,3332,3691,419,71134.6,7063.71,1.77,12.58,0.1
CAM0099,2025-10-15,LinkedIn,Conversion,146917,20228,3231,196,5262.63,187072.29,13.77,0.97,35.55
CAM0100,2025-10-07,LinkedIn,Lead Generation,172131,22705,4384,78,41082.07,198840.84,13.19,0.34,4.84
CAM0101,2025-04-26,Instagram,Conversion,23394,3565,1092,167,70650.93,94001.47,15.24,4.68,1.33
CAM0102,2025-09-26,YouTube,Retargeting,361137,540,455,90,23073.62,96683.29,0.15,16.67,4.19
CAM0103,2025-12-01,YouTube,Lead Generation,181978,28287,4941,264,79631.06,102508.68,15.54,0.93,1.29
CAM0104,2025-11-08,YouTube,Retargeting,64332,16945,4860,472,63262.58,204367.41,26.34,2.79,3.23
CAM0105,2025-02-22,Email,Lead Generation,173377,25287,1602,208,58962.4,18382.0,14.58,0.82,0.31
CAM0106,2025-03-09,YouTube,Conversion,47628,5513,2785,724,35678.11,278805.79,11.58,13.13,7.81
CAM0107,2025-07-01,Facebook,Retargeting,288496,11763,3826,271,48503.92,67533.79,4.08,2.3,1.39
CAM0108,2025-02-03,Email,Conversion,484898,5855,3063,263,59936.26,299902.29,1.21,4.49,5.0
CAM0109,2025-10-11,Instagram,Lead Generation,350115,5112,1600,506,47509.98,52285.29,1.46,9.9,1.1
CAM0110,2025-11-02,Facebook,Retargeting,56993,19647,2241,785,69982.18,231692.39,34.47,4.0,3.31
CAM0111,2025-09-06,Facebook,Awareness,175458,16226,1571,512,43652.84,67800.35,9.25,3.16,1.55
CAM0112,2025-04-21,Google Ads,Conversion,370171,6852,4282,854,20626.18,25173.19,1.85,12.46,1.22
CAM0113,2025-04-04,Instagram,Lead Generation,454840,105,3656,726,21786.41,262605.06,0.02,691.43,12.05
CAM0114,2025-06-28,Instagram,Retargeting,455281,4876,4952,886,1077.47,257766.63,1.07,18.17,239.23
CAM0115,2025-02-16,Google Ads,Conversion,387356,7138,3248,576,30445.29,121667.55,1.84,8.07,4.0
CAM0116,2025-10-09,Email,Retargeting,483720,6514,1610,524,75017.31,211016.45,1.35,8.04,2.81
CAM0117,2025-12-06,YouTube,Conversion,13539,22223,2066,722,79519.19,167562.71,164.14,3.25,2.11
CAM0118,2025-12-28,YouTube,Conversion,137335,4070,4341,312,20645.52,256033.88,2.96,7.67,12.4
CAM0119,2025-04-02,YouTube,Conversion,411521,11150,719,174,95924.88,95201.73,2.71,1.56,0.99
CAM0120,2025-07-31,YouTube,Retargeting,320961,2706,2981,431,50489.08,157578.05,0.84,15.93,3.12
CAM0121,2025-03-16,YouTube,Retargeting,422614,16582,2742,768,91739.39,146126.34,3.92,4.63,1.59
CAM0122,2025-07-21,Google Ads,Conversion,245310,625,803,463,70823.15,106817.84,0.25,74.08,1.51
CAM0123,2025-10-24,Instagram,Awareness,495832,6437,3109,101,72382.13,267545.06,1.3,1.57,3.7
CAM0124,2025-11-04,Email,Awareness,211873,1280,2865,16,8961.84,50597.5,0.6,1.25,5.65
CAM0125,2025-07-30,Facebook,Awareness,316251,24551,36,709,22389.12,45703.08,7.76,2.89,2.04
CAM0126,2025-12-04,YouTube,Lead Generation,430368,26365,3277,258,1377.08,173495.95,6.13,0.98,125.99
CAM0127,2025-05-14,Google Ads,Awareness,491476,25814,94,896,71754.7,197590.77,5.25,3.47,2.75
CAM0128,2025-11-26,Email,Retargeting,428840,20975,3111,244,34771.61,59191.16,4.89,1.16,1.7
CAM0129,2025-03-07,Email,Awareness,396384,13157,1132,348,78771.93,117824.52,3.32,2.64,1.5
CAM0130,2025-10-07,Email,Retargeting,366799,6022,21,249,34224.15,284022.59,1.64,4.13,8.3
CAM0131,2025-01-28,Google Ads,Lead Generation,61132,3171,1758,105,82023.71,74738.61,5.19,3.31,0.91
CAM0132,2025-04-27,Facebook,Retargeting,392845,22125,3119,694,13504.48,200839.85,5.63,3.14,14.87
CAM0133,2025-11-13,YouTube,Retargeting,110494,27603,1886,667,17750.63,222304.67,24.98,2.42,12.52
CAM0134,2025-11-21,Email,Retargeting,320123,23865,2629,287,34417.22,134990.48,7.45,1.2,3.92
CAM0135,2025-04-24,Google Ads,Awareness,325157,2892,189,169,41144.5,281320.27,0.89,5.84,6.84
CAM0136,2025-03-16,Instagram,Conversion,230997,21262,806,420,35195.93,221260.36,9.2,1.98,6.29
CAM0137,2025-07-21,Google Ads,Retargeting,68797,13944,3823,47,76482.88,137919.45,20.27,0.34,1.8
CAM0138,2025-02-28,Google Ads,Awareness,56798,114,2034,43,10146.66,171231.23,0.2,37.72,16.88
CAM0139,2025-01-15,Google Ads,Awareness,152722,18899,3227,321,35446.09,208091.42,12.37,1.7,5.87
CAM0140,2025-08-19,Email,Awareness,424230,2785,896,818,83805.38,178064.86,0.66,29.37,2.12
CAM0141,2025-04-15,Google Ads,Conversion,81421,27576,2478,221,7146.31,263730.58,33.87,0.8,36.9
CAM0142,2025-06-14,Instagram,Conversion,274578,16312,3397,513,94263.18,107709.71,5.94,3.14,1.14
CAM0143,2025-07-18,Email,Conversion,297172,9528,1529,712,98638.53,90665.84,3.21,7.47,0.92
CAM0144,2025-12-20,Instagram,Conversion,71558,8259,2442,441,9312.53,64937.83,11.54,5.34,6.97
CAM0145,2025-02-04,LinkedIn,Lead Generation,291475,24410,4876,144,29481.62,12297.11,8.37,0.59,0.42
CAM0146,2025-06-11,Google Ads,Conversion,72573,4200,926,890,37553.87,13861.18,5.79,21.19,0.37
CAM0147,2025-09-02,YouTube,Conversion,134473,6474,2080,28,77750.94,261146.5,4.81,0.43,3.36
CAM0148,2025-10-14,YouTube,Conversion,472508,6104,3986,854,59794.72,203839.55,1.29,13.99,3.41
CAM0149,2025-01-19,Email,Retargeting,182398,5621,1791,850,64614.39,198499.19,3.08,15.12,3.07
CAM0150,2025-10-07,YouTube,Retargeting,350123,11512,348,790,75872.23,184778.2,3.29,6.86,2.44
CAM0151,2025-12-06,Email,Conversion,497944,26283,1526,553,12238.91,254916.52,5.28,2.1,20.83
CAM0152,2025-12-14,Google Ads,Lead Generation,271267,11855,2880,844,83404.34,144599.81,4.37,7.12,1.73
CAM0153,2025-07-01,Facebook,Retargeting,283747,23639,3592,659,70709.17,261252.84,8.33,2.79,3.69
CAM0154,2025-05-27,Facebook,Awareness,333085,19781,924,857,57945.5,108474.06,5.94,4.33,1.87
CAM0155,2025-06-25,Instagram,Retargeting,47597,19117,3300,690,89028.67,278085.54,40.16,3.61,3.12
CAM0156,2025-06-12,Google Ads,Awareness,199310,3990,4580,827,70180.48,209898.44,2.0,20.73,2.99
CAM0157,2025-06-24,YouTube,Retargeting,351382,28940,1456,837,20569.15,77895.96,8.24,2.89,3.79
CAM0158,2025-02-16,Google Ads,Conversion,440935,27484,1389,930,43259.67,169661.39,6.23,3.38,3.92
CAM0159,2025-09-13,LinkedIn,Retargeting,227858,17275,1493,167,49657.27,160376.14,7.58,0.97,3.23
CAM0160,2025-06-23,Facebook,Conversion,308895,9291,2084,635,5994.15,42231.75,3.01,6.83,7.05
CAM0161,2025-04-13,YouTube,Conversion,393606,251,810,586,95486.43,177781.63,0.06,233.47,1.86
CAM0162,2025-05-01,Facebook,Retargeting,91978,19547,1256,751,13293.44,95120.9,21.25,3.84,7.16
CAM0163,2025-12-16,Google Ads,Awareness,284837,22851,4969,249,69897.4,16652.28,8.02,1.09,0.24
CAM0164,2025-05-25,YouTube,Awareness,487757,29275,2747,775,50869.99,284648.19,6.0,2.65,5.6
CAM0165,2025-02-11,Instagram,Retargeting,173769,24388,3505,764,3050.41,192805.62,14.03,3.13,63.21
CAM0166,2025-01-29,Google Ads,Conversion,361668,13961,4844,357,92512.37,263198.76,3.86,2.56,2.85
CAM0167,2025-09-30,Instagram,Awareness,365013,18575,3267,111,85257.76,203140.75,5.09,0.6,2.38
CAM0168,2025-01-14,YouTube,Lead Generation,166064,15132,3887,692,52663.66,107738.12,9.11,4.57,2.05
CAM0169,2025-11-02,Facebook,Conversion,330969,4699,991,700,23279.76,154293.73,1.42,14.9,6.63
CAM0170,2025-11-09,LinkedIn,Retargeting,145594,12374,2486,820,12601.48,203048.28,8.5,6.63,16.11
CAM0171,2025-07-08,Email,Conversion,397619,12318,2098,719,36657.55,288115.45,3.1,5.84,7.86
CAM0172,2025-12-26,Facebook,Lead Generation,312550,23892,2962,234,25915.11,76847.17,7.64,0.98,2.97
CAM0173,2025-10-22,Instagram,Lead Generation,243078,3077,1021,24,50915.77,262618.14,1.27,0.78,5.16
CAM0174,2025-07-02,Google Ads,Awareness,245140,17326,3474,26,96657.72,277299.26,7.07,0.15,2.87
CAM0175,2025-12-18,YouTube,Lead Generation,148193,29122,2760,381,57707.87,201454.24,19.65,1.31,3.49
CAM0176,2025-02-05,Facebook,Conversion,128371,3893,2136,730,89048.14,279448.72,3.03,18.75,3.14
CAM0177,2025-02-06,LinkedIn,Awareness,412435,26746,4822,346,65262.44,119965.7,6.48,1.29,1.84
CAM0178,2025-01-14,YouTube,Lead Generation,268761,1759,3871,378,47787.03,285951.84,0.65,21.49,5.98
CAM0179,2025-05-03,Instagram,Awareness,48016,25273,2601,522,85533.45,211132.08,52.63,2.07,2.47
CAM0180,2025-03-24,YouTube,Awareness,448888,5262,1483,17,47401.13,13559.72,1.17,0.32,0.29
