Ticket_ID,Created_Date,Channel,Issue_Type,Priority,Resolution_Time_Hours,First_Response_Min,Customer_Rating,Resolved,Agent_Experience_Months
TKT0046,2025-04-18,Phone,Payment,Medium,20.36,39.8,1.3,Yes,32
TKT0047,2025-10-24,Email,Payment,Critical,31.24,68.6,4.4,Yes,41
TKT0048,2025-09-21,Phone,Login,Medium,3.74,37.3,3.3,Yes,36
TKT0049,2025-01-30,Web,Refund,Low,9.81,64.1,3.6,Yes,36
TKT0050,2025-10-29,Phone,Account,High,2.58,54.5,2.2,Yes,66
TKT0051,2025-12-27,Email,Refund,High,8.75,12.9,2.5,Yes,10
TKT0052,2025-12-18,Phone,Account,Medium,1.63,24.9,1.3,No,70
TKT0053,2025-11-13,Chat,Payment,Medium,34.61,8.4,4.4,Yes,72
TKT0054,2025-08-13,Phone,Technical,High,12.7,3.7,3.4,No,79
TKT0055,2025-03-30,Web,Technical,Low,23.61,4.6,1.3,Yes,63
TKT0056,2025-08-22,Phone,Account,High,76.99,116.2,4.2,Yes,22
TKT0057,2025-06-17,Chat,Account,High,2.92,168.8,2.8,Yes,20
TKT0058,2025-08-19,Chat,Login,High,14.72,6.0,4.1,No,33
TKT0059,2025-05-06,Chat,Payment,Low,26.66,18.3,1.1,Yes,15
TKT0060,2025-03-02,Email,Payment,High,10.79,6.9,1.1,Yes,7
TKT0061,2025-04-30,Chat,Refund,Medium,12.75,73.9,1.7,Yes,50
TKT0062,2025-07-09,Email,Login,Medium,6.78,29.4,1.8,Yes,10
TKT0063,2025-05-01,Chat,Delivery,High,13.98,40.8,4.1,Yes,79
TKT0064,2025-02-17,Email,Technical,Low,6.54,33.1,3.8,Yes,37
TKT0065,2025-07-21,Chat,Technical,Medium,8.27,51.5,3.5,Yes,59
TKT0066,2025-02-28,Chat,Payment,High,1.8,17.4,4.5,Yes,75
TKT0067,2025-07-04,Phone,Login,High,0.59,7.9,2.0,Yes,63
TKT0068,2025-08-11,Chat,Delivery,High,1.18,2.7,4.6,Yes,21
TKT0069,2025-01-11,Phone,Technical,Low,3.07,25.6,4.6,Yes,79
TKT0070,2025-10-08,Chat,Login,Medium,7.82,97.4,2.7,Yes,79
TKT0071,2025-07-08,Chat,Delivery,Low,0.75,16.6,1.4,Yes,37
TKT0072,2025-10-29,Phone,Account,High,2.53,10.7,3.9,Yes,45
TKT0073,2025-11-06,Phone,Payment,Low,18.75,106.2,2.3,Yes,14
TKT0074,2025-08-25,Email,Refund,Medium,17.73,6.5,4.2,Yes,43
TKT0075,2025-02-03,Web,Technical,Medium,19.21,4.1,1.7,Yes,84
TKT0076,2025-12-06,Phone,Technical,Critical,31.04,86.6,3.2,Yes,33
TKT0077,2025-05-15,Email,Delivery,Medium,2.02,50.3,3.0,Yes,3
TKT0078,2025-03-03,Chat,Refund,Medium,2.64,23.9,1.4,Yes,44
TKT0079,2025-11-09,Phone,Account,Medium,5.37,57.8,2.5,Yes,35
TKT0080,2025-08-15,Phone,Login,Medium,30.1,56.1,1.3,Yes,25
TKT0081,2025-04-03,Chat,Payment,Medium,18.43,3.6,2.9,Yes,8
TKT0082,2025-04-26,Chat,Login,Low,5.2,47.1,4.4,No,62
TKT0083,2025-11-28,Chat,Delivery,Medium,1.6,43.0,2.1,No,18
TKT0084,2025-05-13,Chat,Technical,High,12.0,134.7,4.1,Yes,28
TKT0085,2025-11-28,Web,Account,Low,4.06,138.0,1.7,Yes,75
TKT0086,2025-10-20,Phone,Technical,Low,9.59,21.0,3.7,Yes,12
TKT0087,2025-07-12,Chat,Login,Medium,34.63,37.6,4.7,Yes,64
TKT0088,2025-01-30,Chat,Account,High,10.7,8.1,2.3,Yes,2
TKT0089,2025-10-25,Web,Payment,Low,31.4,4.8,4.6,Yes,59
TKT0090,2025-03-02,Phone,Delivery,High,6.49,24.7,3.0,Yes,37
TKT0091,2025-10-31,Email,Payment,High,12.54,48.8,2.3,Yes,4
TKT0092,2025-12-06,Phone,Delivery,Low,27.42,35.6,4.6,Yes,41
TKT0093,2025-12-15,Email,Payment,Low,11.14,24.5,1.1,Yes,45
TKT0094,2025-11-20,Web,Login,Medium,11.95,70.2,1.1,Yes,34
TKT0095,2025-10-29,Chat,Refund,Critical,15.62,65.3,3.4,Yes,13
TKT0096,2025-01-28,Web,Account,Medium,26.16,54.7,4.2,Yes,7
TKT0097,2025-03-18,Phone,Delivery,Medium,1.61,5.2,4.0,Yes,32
TKT0098,2025-05-01,Chat,Login,Low,5.43,65.7,1.3,Yes,23
TKT0099,2025-01-03,Phone,Technical,Medium,6.58,102.7,4.8,No,49
TKT0100,2025-02-06,Email,Technical,Medium,29.36,4.5,3.8,Yes,72
TKT0101,2025-05-27,Phone,Payment,Low,37.98,22.5,4.8,Yes,47
TKT0102,2025-04-02,Web,Technical,Medium,2.04,180.1,2.3,Yes,37
TKT0103,2025-12-05,Web,Refund,Low,2.02,38.6,3.8,Yes,48
TKT0104,2025-09-30,Web,Delivery,Medium,33.27,30.8,4.4,No,29
TKT0105,2025-03-28,Chat,Payment,Low,4.71,9.8,2.5,Yes,37
TKT0106,2025-02-09,Phone,Delivery,Low,3.82,35.3,4.9,Yes,23
TKT0107,2025-06-27,Chat,Delivery,High,0.94,25.1,2.1,Yes,38
TKT0108,2025-11-25,Phone,Login,Low,4.37,7.5,2.3,Yes,44
TKT0109,2025-10-12,Email,Technical,Medium,14.69,27.0,4.7,Yes,5
TKT0110,2025-02-11,Phone,Account,Low,7.16,9.2,4.9,No,52
TKT0111,2025-10-12,Phone,Delivery,Low,9.23,54.5,2.1,Yes,40
TKT0112,2025-03-07,Phone,Refund,Medium,30.41,147.4,1.5,Yes,11
TKT0113,2025-05-04,Phone,Refund,Low,1.96,27.4,4.0,Yes,78
TKT0114,2025-05-25,Email,Account,Low,1.39,42.0,4.7,No,2
TKT0115,2025-04-30,Chat,Technical,High,23.42,24.6,3.4,Yes,35
TKT0116,2025-04-19,Web,Technical,Low,18.39,8.0,3.5,Yes,45
TKT0117,2025-04-02,Phone,Payment,Low,4.17,143.0,4.1,Yes,49
TKT0118,2025-11-04,Web,Payment,High,5.2,7.6,1.6,Yes,35
TKT0119,2025-03-01,Web,Payment,Low,4.96,6.7,4.9,Yes,72
TKT0120,2025-12-16,Web,Technical,Medium,13.02,26.6,2.5,No,32
TKT0121,2025-08-15,Web,Delivery,Low,1.26,45.0,3.5,Yes,68
TKT0122,2025-08-28,Phone,Login,Low,8.57,19.5,2.9,Yes,71
TKT0123,2025-07-31,Web,Account,Medium,2.22,10.6,2.9,Yes,39
TKT0124,2025-04-08,Phone,Account,Critical,21.06,70.4,3.8,Yes,48
TKT0125,2025-01-14,Email,Account,Low,6.25,20.0,5.0,Yes,37
TKT0126,2025-08-06,Chat,Payment,Medium,9.5,10.6,3.6,Yes,60
TKT0127,2025-06-19,Chat,Login,Low,0.86,20.2,4.2,Yes,81
TKT0128,2025-11-03,Phone,Refund,Low,1.22,11.7,1.1,Yes,74
TKT0129,2025-10-07,Phone,Technical,High,13.99,31.3,4.2,Yes,4
TKT0130,2025-12-29,Chat,Refund,Low,17.97,46.1,2.2,Yes,23
TKT0131,2025-07-29,Web,Payment,High,15.36,66.3,1.5,Yes,14
TKT0132,2025-09-13,Phone,Delivery,Low,16.53,12.3,1.5,Yes,5
TKT0133,2025-06-20,Web,Payment,High,1.83,9.3,3.7,No,66
TKT0134,2025-03-14,Phone,Login,Medium,14.69,2.8,5.0,Yes,24
TKT0135,2025-05-27,Phone,Payment,High,2.91,12.4,3.7,Yes,18
TKT0136,2025-12-06,Email,Account,Low,1.74,3.0,2.0,Yes,27
TKT0137,2025-11-13,Email,Delivery,High,17.48,19.0,1.8,Yes,24
TKT0138,2025-04-16,Chat,Delivery,Medium,26.92,8.3,3.1,Yes,29
TKT0139,2025-04-04,Email,Technical,Medium,15.64,36.7,1.3,Yes,11
TKT0140,2025-03-04,Email,Technical,High,20.15,21.4,2.6,Yes,18
TKT0141,2025-06-03,Chat,Account,Medium,57.14,5.9,3.7,No,4
TKT0142,2025-09-12,Web,Delivery,High,2.24,22.4,4.9,No,33
TKT0143,2025-12-17,Email,Account,Medium,40.78,11.4,2.7,Yes,78
TKT0144,2025-02-04,Web,Delivery,Medium,11.53,47.6,1.8,Yes,42
TKT0145,2025-11-19,Chat,Login,High,20.64,20.1,4.3,Yes,32
TKT0146,2025-11-08,Phone,Payment,Low,13.1,8.4,4.0,Yes,51
TKT0147,2025-10-23,Web,Technical,Medium,10.63,19.2,4.4,Yes,4
TKT0148,2025-09-10,Chat,Login,Critical,15.09,12.2,1.9,Yes,20
TKT0149,2025-06-06,Web,Payment,Medium,5.13,65.5,2.6,Yes,67
TKT0150,2025-05-14,Chat,Technical,Low,31.47,165.9,4.9,Yes,68
TKT0151,2025-05-09,Chat,Account,Medium,1.97,3.0,1.6,Yes,62
TKT0152,2025-10-07,Phone,Login,High,5.09,48.8,3.7,Yes,58
TKT0153,2025-12-24,Web,Refund,Critical,0.88,14.3,1.9,Yes,47
TKT0154,2025-09-09,Phone,Refund,Critical,4.3,4.7,3.0,Yes,75
TKT0155,2025-05-15,Phone,Technical,Medium,3.45,2.6,4.2,Yes,80
TKT0156,2025-11-27,Web,Login,Medium,1.11,87.1,3.0,Yes,59
TKT0157,2025-01-11,Web,Payment,Low,8.62,19.5,4.2,Yes,6
TKT0158,2025-10-19,Chat,Payment,Low,8.09,210.4,2.7,Yes,40
TKT0159,2025-05-28,Web,Login,Low,1.47,25.4,5.0,Yes,77
TKT0160,2025-11-15,Chat,Refund,Low,4.14,10.3,2.7,Yes,23
TKT0161,2025-03-21,Chat,Login,High,37.27,62.0,1.6,Yes,52
TKT0162,2025-07-10,Chat,Refund,High,1.91,106.4,2.6,Yes,4
TKT0163,2025-12-10,Chat,Refund,Medium,4.87,69.6,4.0,Yes,37
TKT0164,2025-01-30,Chat,Account,Critical,0.94,56.7,4.4,Yes,42
TKT0165,2025-12-25,Chat,Account,Critical,2.43,18.3,2.8,Yes,44
TKT0166,2025-08-17,Web,Payment,Medium,14.92,4.7,3.4,Yes,42
TKT0167,2025-03-25,Web,Technical,Medium,5.98,11.0,4.4,Yes,29
TKT0168,2025-05-30,Email,Delivery,Low,7.72,25.7,4.3,Yes,19
TKT0169,2025-12-27,Web,Login,Medium,2.55,127.1,3.6,Yes,84
TKT0170,2025-07-08,Phone,Refund,Low,14.25,53.3,4.3,Yes,32
TKT0171,2025-01-21,Email,Login,Medium,17.21,72.5,3.3,Yes,44
TKT0172,2025-02-06,Web,Technical,High,2.9,15.0,1.0,Yes,55
TKT0173,2025-09-03,Phone,Technical,Low,1.05,48.1,1.2,Yes,80
TKT0174,2025-10-10,Web,Delivery,Low,1.51,81.3,4.9,Yes,5
TKT0175,2025-04-12,Chat,Delivery,Medium,13.34,28.1,1.6,Yes,46
TKT0176,2025-10-21,Email,Refund,Medium,2.25,24.5,2.6,Yes,76
TKT0177,2025-08-20,Chat,Account,Low,8.67,52.8,4.7,Yes,45
TKT0178,2025-11-12,Email,Delivery,Low,2.49,34.8,1.8,Yes,21
TKT0179,2025-11-22,Email,Account,Critical,2.74,201.5,4.4,Yes,78
TKT0180,2025-10-15,Chat,Account,Low,0.55,24.1,4.3,Yes,22
TKT0181,2025-12-02,Email,Refund,High,5.14,9.7,4.9,Yes,30
TKT0182,2025-09-02,Email,Payment,Medium,1.63,27.5,2.1,Yes,23
TKT0183,2025-06-26,Web,Account,Medium,6.51,12.7,2.3,Yes,5
TKT0184,2025-08-01,Phone,Refund,Low,11.43,35.0,4.6,Yes,63
TKT0185,2025-12-24,Chat,Delivery,High,6.0,7.4,1.9,Yes,59
TKT0186,2025-04-12,Web,Login,High,15.15,121.8,3.2,Yes,82
TKT0187,2025-10-13,Web,Delivery,Low,16.73,80.6,3.8,No,52
TKT0188,2025-01-22,Chat,Technical,Low,14.81,8.8,2.1,Yes,65
TKT0189,2025-01-19,Email,Delivery,Low,33.62,9.6,4.8,No,39
TKT0190,2025-10-14,Chat,Payment,High,3.75,30.7,3.7,Yes,81
TKT0191,2025-10-03,Phone,Refund,Medium,3.02,61.3,1.2,Yes,3
TKT0192,2025-05-27,Phone,Account,Low,11.79,11.9,1.5,Yes,42
TKT0193,2025-02-09,Chat,Technical,Low,11.34,4.5,1.8,Yes,71
TKT0194,2025-06-16,Web,Refund,Medium,9.06,33.5,2.0,Yes,27
TKT0195,2025-04-01,Chat,Refund,High,0.55,49.1,3.9,Yes,28
TKT0196,2025-03-13,Phone,Account,Medium,10.22,13.2,1.4,Yes,54
TKT0197,2025-12-31,Chat,Delivery,Low,32.9,55.8,2.4,Yes,15
TKT0198,2025-10-10,Email,Login,Low,5.39,122.3,4.6,Yes,53
TKT0199,2025-12-01,Chat,Technical,Medium,41.65,7.9,3.2,Yes,72
TKT0200,2025-05-20,Web,Account,Low,5.79,30.6,2.1,Yes,70
TKT0201,2025-08-27,Email,Payment,High,2.31,4.3,4.8,Yes,4
TKT0202,2025-03-19,Phone,Payment,Medium,6.6,11.3,2.0,Yes,17
TKT0203,2025-07-18,Chat,Login,Low,8.69,5.8,4.6,Yes,34
TKT0204,2025-01-17,Web,Login,Medium,12.41,22.7,3.9,Yes,6
TKT0205,2025-08-06,Web,Delivery,Medium,8.94,70.8,4.0,Yes,36
TKT0206,2025-08-17,Phone,Payment,Medium,9.73,36.4,4.1,Yes,39
TKT0207,2025-12-06,Chat,Technical,High,0.79,12.1,3.0,Yes,80
TKT0208,2025-05-18,Web,Account,Medium,4.01,3.6,4.3,Yes,66
TKT0209,2025-05-27,Email,Login,High,4.96,34.2,4.3,Yes,8
TKT0210,2025-07-29,Chat,Login,Medium,52.7,7.7,2.4,Yes,15
TKT0211,2025-06-07,Phone,Login,Low,4.7,18.8,2.6,Yes,63
TKT0212,2025-06-02,Email,Account,Low,27.73,30.5,4.6,Yes,80
TKT0213,2025-12-10,Chat,Technical,High,4.86,95.6,3.1,Yes,65
TKT0214,2025-11-26,Web,Payment,High,1.71,5.4,4.5,Yes,59
TKT0215,2025-12-24,Phone,Technical,Medium,3.91,46.2,3.5,Yes,10
TKT0216,2025-12-18,Phone,Account,Medium,4.32,2.6,3.4,Yes,7
TKT0217,2025-06-12,Chat,Technical,Low,46.44,41.8,1.1,Yes,74
TKT0218,2025-11-03,Phone,Delivery,Medium,13.96,34.1,2.1,Yes,76
TKT0219,2025-04-11,Email,Account,Critical,32.7,68.8,3.0,Yes,81
TKT0220,2025-11-23,Chat,Login,High,22.12,32.3,3.3,Yes,12
TKT0221,2025-11-23,Email,Payment,Low,10.87,19.4,3.5,Yes,79
TKT0222,2025-06-04,Phone,Delivery,Low,14.0,13.1,3.9,Yes,46
TKT0223,2025-01-10,Phone,Delivery,Medium,12.26,5.6,3.6,Yes,32
TKT0224,2025-12-19,Phone,Account,Medium,13.67,32.6,4.4,Yes,32
TKT0225,2025-07-02,Email,Refund,Medium,4.19,89.7,2.2,Yes,78
TKT0226,2025-05-14,Phone,Login,Medium,6.79,30.9,3.6,Yes,61
TKT0227,2025-01-06,Chat,Payment,Low,11.28,55.7,1.2,No,69
TKT0228,2025-11-29,Web,Payment,High,0.94,16.2,2.9,Yes,61
TKT0229,2025-11-29,Chat,Payment,Medium,8.41,25.8,2.1,Yes,46
TKT0230,2025-09-15,Web,Account,High,24.07,17.7,2.5,Yes,68
TKT0231,2025-07-30,Phone,Login,High,8.64,6.6,2.4,No,55
TKT0232,2025-02-20,Chat,Account,Medium,10.14,23.6,1.2,Yes,1
TKT0233,2025-05-27,Email,Payment,High,3.21,59.8,2.9,Yes,77
TKT0234,2025-05-08,Web,Technical,Medium,19.48,22.1,5.0,Yes,67
TKT0235,2025-09-15,Email,Technical,Critical,5.83,44.0,2.2,Yes,49
TKT0236,2025-02-20,Web,Login,Low,38.14,58.9,3.9,Yes,25
TKT0237,2025-06-03,Phone,Payment,High,61.33,17.6,3.2,Yes,16
TKT0238,2025-03-11,Chat,Account,Low,30.22,65.9,2.3,Yes,13
TKT0239,2025-10-03,Web,Refund,Low,1.56,18.6,1.4,Yes,52
TKT0240,2025-10-06,Chat,Refund,Medium,5.36,13.8,1.9,Yes,36
TKT0241,2025-11-06,Web,Refund,Medium,35.34,12.1,4.1,Yes,72
TKT0242,2025-05-14,Web,Technical,Low,20.09,10.9,2.1,Yes,44
TKT0243,2025-08-08,Phone,Account,Medium,29.55,55.4,1.6,Yes,83
TKT0244,2025-06-12,Web,Refund,High,10.7,89.4,2.3,Yes,47
TKT0245,2025-05-16,Email,Payment,Low,8.36,12.5,3.3,Yes,80
TKT0246,2025-02-26,Web,Payment,Medium,1.85,5.6,3.8,Yes,76
TKT0247,2025-06-26,Web,Refund,Low,22.45,17.1,2.5,Yes,20
TKT0248,2025-04-25,Web,Delivery,Medium,16.9,44.9,3.0,Yes,18
TKT0249,2025-05-29,Phone,Refund,Medium,1.23,20.4,2.8,Yes,54
TKT0250,2025-08-29,Chat,Delivery,Medium,3.32,33.9,1.0,Yes,12
TKT0251,2025-05-03,Chat,Login,Critical,10.28,56.6,2.6,Yes,25
TKT0252,2025-10-19,Phone,Login,Medium,14.34,23.0,3.3,Yes,60
TKT0253,2025-11-23,Email,Payment,High,2.28,325.8,3.3,Yes,75
TKT0254,2025-03-10,Email,Account,Medium,3.87,16.1,4.0,Yes,34
TKT0255,2025-11-10,Phone,Technical,High,3.07,155.1,3.7,Yes,13
TKT0256,2025-03-04,Chat,Account,Low,3.48,11.1,2.1,Yes,38
TKT0257,2025-08-09,Email,Payment,Low,30.92,6.7,2.0,Yes,12
TKT0258,2025-01-16,Phone,Payment,Medium,15.6,57.6,2.9,Yes,36
TKT0259,2025-03-19,Chat,Account,High,16.53,50.5,3.9,Yes,28
TKT0260,2025-05-02,Email,Technical,Low,19.46,68.7,1.4,Yes,39
TKT0261,2025-09-15,Email,Payment,Critical,5.79,18.8,4.8,Yes,77
TKT0262,2025-08-05,Phone,Technical,Low,17.99,108.8,3.2,Yes,43
TKT0263,2025-04-24,Chat,Payment,Low,46.53,7.1,2.2,Yes,31
TKT0264,2025-05-26,Email,Login,Low,14.88,3.2,3.8,Yes,2
TKT0265,2025-08-25,Phone,Delivery,Medium,6.97,16.3,1.2,Yes,82
TKT0266,2025-03-27,Email,Payment,High,15.62,65.8,2.9,Yes,42
TKT0267,2025-06-16,Chat,Delivery,Low,28.23,46.7,2.9,Yes,31
TKT0268,2025-05-09,Web,Refund,Medium,2.15,24.9,1.6,Yes,61
TKT0269,2025-06-14,Email,Payment,Low,4.2,13.8,4.3,Yes,56
TKT0270,2025-10-04,Chat,Login,Medium,30.7,4.4,4.2,Yes,83
TKT0271,2025-09-14,Email,Technical,Low,35.58,18.5,1.6,Yes,14
TKT0272,2025-05-12,Web,Login,Medium,8.44,26.6,2.5,Yes,14
TKT0273,2025-02-27,Web,Delivery,Medium,6.13,48.5,1.4,Yes,29
TKT0274,2025-09-14,Email,Technical,Medium,4.49,43.5,4.4,No,81
TKT0275,2025-05-21,Phone,Login,Low,8.79,119.8,2.3,Yes,50
