Session_ID,Date,Device,Traffic_Source,Pages_Viewed,Session_Duration_Min,Product_Views,Add_To_Cart,Checkout,Purchase,Order_Value
SES0051,2025-06-19,Desktop,Direct,8,1.77,10,No,No,No,7288.34
SES0052,2025-07-11,Mobile,Direct,5,4.35,4,No,No,Yes,2506.97
SES0053,2025-06-26,Desktop,Social,4,14.94,6,No,Yes,No,13134.61
SES0054,2025-06-28,Mobile,Referral,5,3.14,3,Yes,No,No,4547.47
SES0055,2025-08-03,Mobile,Organic,6,6.19,7,No,No,No,3173.61
SES0056,2025-08-07,Desktop,Social,6,19.59,8,Yes,No,No,5795.45
SES0057,2025-08-19,Mobile,Referral,5,9.36,11,Yes,No,No,4547.47
SES0058,2025-07-21,Mobile,Paid,12,5.88,2,Yes,Yes,No,2152.97
SES0059,2025-09-10,Mobile,Direct,11,7.16,6,Yes,Yes,No,2152.97
SES0060,2025-11-23,Desktop,Organic,12,14.28,11,No,No,No,1155.51
SES0061,2025-06-10,Mobile,Social,6,16.56,9,No,No,No,9245.98
SES0062,2025-11-14,Mobile,Paid,9,17.86,8,No,No,No,1155.51
SES0063,2025-09-08,Tablet,Email,5,5.41,0,No,No,Yes,2506.97
SES0064,2025-09-30,Tablet,Paid,13,2.93,1,No,No,No,3331.55
SES0065,2025-10-25,Mobile,Social,6,1.21,6,No,Yes,No,4547.47
SES0066,2025-08-03,Mobile,Direct,4,2.94,1,No,No,No,5314.5
SES0067,2025-10-02,Desktop,Referral,13,14.82,6,No,No,No,8780.59
SES0068,2025-06-19,Desktop,Email,3,11.53,0,No,No,No,11021.38
SES0069,2025-08-15,Mobile,Email,13,4.21,2,Yes,Yes,No,7288.34
SES0070,2025-08-01,Mobile,Direct,12,4.35,4,Yes,No,No,4547.47
SES0071,2025-10-19,Desktop,Email,6,2.35,11,No,Yes,No,9245.98
SES0072,2025-06-25,Desktop,Organic,11,3.53,10,No,No,No,3173.61
SES0073,2025-08-28,Desktop,Social,11,6.77,5,No,No,No,3331.55
SES0074,2025-08-31,Mobile,Email,5,3.07,8,Yes,Yes,Yes,2152.97
SES0075,2025-07-12,Mobile,Paid,4,1.54,8,Yes,No,No,5314.5
SES0076,2025-09-25,Mobile,Referral,5,4.39,2,No,No,No,4567.71
SES0077,2025-07-09,Mobile,Social,7,1.78,7,No,No,No,8780.59
SES0078,2025-11-05,Mobile,Direct,1,18.8,3,No,No,No,7859.36
SES0079,2025-10-11,Mobile,Paid,14,2.97,6,No,No,No,3752.42
SES0080,2025-08-20,Mobile,Organic,15,12.52,5,Yes,No,No,3173.61
SES0081,2025-10-24,Mobile,Email,1,1.78,7,No,Yes,No,7288.34
SES0082,2025-09-15,Desktop,Paid,11,1.55,5,No,No,Yes,3361.74
SES0083,2025-09-19,Desktop,Social,13,5.3,3,No,Yes,No,4547.47
SES0084,2025-06-21,Desktop,Paid,1,8.06,1,Yes,No,No,3361.74
SES0085,2025-07-20,Desktop,Organic,2,4.68,6,No,No,No,2506.97
SES0086,2025-09-29,Mobile,Referral,9,1.81,10,No,Yes,No,0.0
SES0087,2025-10-12,Mobile,Email,13,0.69,10,Yes,Yes,No,5795.45
SES0088,2025-07-20,Mobile,Social,5,5.32,3,No,No,No,3361.74
SES0089,2025-09-23,Mobile,Email,14,1.2,8,No,No,No,9245.98
SES0090,2025-06-01,Desktop,Email,9,2.6,8,Yes,No,No,11021.38
SES0091,2025-06-30,Mobile,Direct,13,6.13,6,No,No,No,9905.46
SES0092,2025-09-15,Mobile,Email,5,1.02,4,Yes,No,No,1155.51
SES0093,2025-11-27,Mobile,Paid,15,1.18,2,No,No,No,5729.59
SES0094,2025-11-12,Mobile,Paid,14,0.82,2,No,No,No,3173.61
SES0095,2025-07-18,Desktop,Referral,7,28.21,8,No,No,Yes,2506.97
SES0096,2025-08-26,Mobile,Organic,14,2.95,8,Yes,Yes,No,11021.38
SES0097,2025-10-07,Mobile,Social,14,12.31,11,No,No,No,3752.42
SES0098,2025-06-19,Mobile,Paid,15,2.24,10,No,No,No,3331.55
SES0099,2025-07-16,Desktop,Email,6,7.5,3,Yes,Yes,No,9245.98
SES0100,2025-10-08,Mobile,Organic,2,1.74,10,No,Yes,No,2506.97
SES0101,2025-07-26,Mobile,Social,3,3.95,0,Yes,No,No,10928.1
SES0102,2025-10-23,Mobile,Social,5,9.2,9,No,No,No,4567.71
SES0103,2025-08-31,Mobile,Social,4,8.97,4,No,Yes,Yes,9905.46
SES0104,2025-08-21,Mobile,Social,14,8.41,7,No,No,No,1155.51
SES0105,2025-08-18,Desktop,Referral,11,9.18,9,No,Yes,No,5729.59
SES0106,2025-10-28,Desktop,Social,6,1.69,3,No,No,No,7859.36
SES0107,2025-09-13,Desktop,Organic,8,3.79,9,Yes,No,No,3752.42
SES0108,2025-06-27,Mobile,Paid,8,3.82,9,Yes,No,No,1155.51
SES0109,2025-07-25,Mobile,Organic,3,11.56,3,Yes,Yes,Yes,3361.74
SES0110,2025-11-07,Mobile,Email,4,2.26,11,No,No,No,4567.71
SES0111,2025-07-30,Mobile,Direct,1,13.9,8,No,Yes,No,4567.71
SES0112,2025-09-17,Mobile,Referral,2,3.5,8,No,No,No,2152.97
SES0113,2025-11-03,Mobile,Referral,13,6.04,6,Yes,No,No,3173.61
SES0114,2025-11-03,Desktop,Email,9,2.07,9,No,No,No,5729.59
SES0115,2025-09-28,Desktop,Organic,15,3.14,7,No,No,No,7859.36
SES0116,2025-10-31,Desktop,Organic,12,6.69,11,No,No,No,13134.61
SES0117,2025-08-24,Desktop,Email,10,4.09,11,No,No,No,9905.46
SES0118,2025-08-25,Mobile,Direct,10,13.85,3,No,No,No,10928.1
SES0119,2025-09-25,Mobile,Social,2,7.18,7,No,No,No,7288.34
SES0120,2025-11-01,Mobile,Social,12,4.66,5,No,No,No,2506.97
SES0121,2025-09-16,Mobile,Paid,6,11.39,2,No,No,No,3752.42
SES0122,2025-08-14,Mobile,Organic,14,5.98,6,Yes,No,No,2506.97
SES0123,2025-09-27,Mobile,Organic,7,5.71,2,Yes,No,No,3752.42
SES0124,2025-10-23,Mobile,Email,6,1.91,10,No,No,No,3361.74
SES0125,2025-06-07,Desktop,Email,8,3.01,6,No,No,No,3173.61
SES0126,2025-10-26,Desktop,Social,9,6.25,4,No,Yes,No,3361.74
SES0127,2025-11-13,Mobile,Organic,8,11.62,3,No,No,No,7859.36
SES0128,2025-08-14,Mobile,Organic,5,2.4,2,No,No,No,1155.51
SES0129,2025-07-28,Mobile,Referral,8,1.71,7,No,No,No,0.0
SES0130,2025-06-16,Desktop,Paid,10,5.0,3,Yes,No,No,7859.36
SES0131,2025-11-26,Mobile,Paid,15,0.85,7,No,Yes,No,9905.46
SES0132,2025-06-27,Desktop,Social,15,6.77,9,No,No,No,9905.46
SES0133,2025-07-21,Mobile,Direct,10,6.57,2,Yes,No,No,4567.71
SES0134,2025-08-14,Mobile,Organic,9,2.69,9,Yes,No,No,3173.61
SES0135,2025-10-22,Mobile,Referral,14,11.66,8,No,No,Yes,4547.47
SES0136,2025-08-26,Mobile,Organic,8,3.99,5,Yes,No,No,7288.34
SES0137,2025-10-01,Mobile,Email,2,5.69,4,No,No,No,0.0
SES0138,2025-08-15,Desktop,Social,2,1.68,4,No,No,No,5729.59
SES0139,2025-07-10,Mobile,Direct,12,3.2,2,Yes,No,No,9245.98
SES0140,2025-08-06,Mobile,Paid,3,10.42,1,Yes,No,No,5314.5
SES0141,2025-10-08,Desktop,Organic,7,1.7,5,No,No,No,3361.74
SES0142,2025-09-10,Mobile,Direct,9,2.98,10,No,No,No,2152.97
SES0143,2025-11-23,Mobile,Social,8,2.41,0,No,No,No,10928.1
SES0144,2025-11-27,Mobile,Paid,9,1.32,6,Yes,Yes,No,2152.97
SES0145,2025-10-30,Desktop,Organic,6,2.21,4,No,No,No,8780.59
SES0146,2025-09-01,Desktop,Referral,1,1.82,3,No,No,No,13134.61
SES0147,2025-09-18,Mobile,Social,14,13.36,8,No,No,No,3173.61
SES0148,2025-08-21,Tablet,Organic,12,7.26,9,No,Yes,No,3173.61
SES0149,2025-08-17,Desktop,Paid,4,2.4,0,Yes,No,No,7859.36
SES0150,2025-06-02,Mobile,Paid,13,7.71,10,No,No,No,9245.98
SES0151,2025-08-04,Desktop,Referral,6,0.61,3,Yes,No,No,7859.36
SES0152,2025-06-20,Mobile,Social,15,4.24,2,No,No,No,7288.34
SES0153,2025-07-04,Desktop,Social,12,1.94,5,Yes,No,No,13134.61
SES0154,2025-07-11,Mobile,Direct,6,1.11,4,No,No,No,5729.59
SES0155,2025-11-16,Desktop,Organic,15,11.26,6,No,No,No,4567.71
SES0156,2025-06-23,Mobile,Direct,8,1.61,0,No,No,No,7859.36
SES0157,2025-07-08,Desktop,Paid,15,9.14,4,No,No,Yes,7288.34
SES0158,2025-11-19,Mobile,Paid,1,3.17,1,No,No,No,5795.45
SES0159,2025-08-06,Mobile,Referral,13,0.57,1,No,No,No,13134.61
SES0160,2025-08-01,Mobile,Referral,11,7.09,10,No,Yes,Yes,11021.38
SES0161,2025-10-18,Desktop,Social,2,5.04,10,Yes,No,No,5314.5
SES0162,2025-06-30,Desktop,Direct,2,2.61,1,Yes,No,No,13134.61
SES0163,2025-08-26,Mobile,Paid,13,2.15,8,No,No,No,5795.45
SES0164,2025-11-16,Desktop,Organic,6,0.88,9,Yes,No,No,7288.34
SES0165,2025-10-26,Mobile,Email,14,14.69,2,No,No,No,5314.5
SES0166,2025-09-26,Desktop,Organic,14,3.91,3,Yes,No,No,7288.34
SES0167,2025-06-06,Desktop,Referral,11,0.95,4,No,No,No,2506.97
SES0168,2025-08-14,Mobile,Organic,7,10.65,3,No,No,No,10928.1
SES0169,2025-10-10,Tablet,Paid,2,2.13,3,Yes,No,No,3331.55
SES0170,2025-09-01,Mobile,Direct,5,1.64,4,Yes,No,No,9905.46
SES0171,2025-06-10,Mobile,Social,6,2.15,9,No,No,No,3331.55
SES0172,2025-07-21,Desktop,Direct,4,4.66,8,No,Yes,No,9905.46
SES0173,2025-09-01,Desktop,Email,1,0.88,11,No,No,No,1155.51
SES0174,2025-07-08,Mobile,Social,3,3.79,8,No,Yes,Yes,2152.97
SES0175,2025-10-07,Mobile,Email,14,11.8,5,Yes,No,No,9905.46
SES0176,2025-10-14,Desktop,Email,10,1.54,10,Yes,No,No,3173.61
SES0177,2025-09-10,Mobile,Paid,9,2.51,11,Yes,Yes,No,3173.61
SES0178,2025-08-20,Desktop,Paid,13,3.02,2,No,No,No,5729.59
SES0179,2025-08-22,Desktop,Referral,6,4.91,5,No,No,Yes,8780.59
SES0180,2025-11-08,Mobile,Referral,2,13.08,9,Yes,No,No,3331.55
SES0181,2025-10-21,Mobile,Email,9,3.01,3,No,No,No,3173.61
SES0182,2025-07-01,Mobile,Direct,4,0.86,2,No,No,No,11021.38
SES0183,2025-06-21,Mobile,Referral,11,2.64,5,No,No,No,5729.59
SES0184,2025-10-09,Desktop,Paid,13,1.55,10,No,No,No,5795.45
SES0185,2025-10-04,Tablet,Referral,8,5.77,5,No,Yes,No,13134.61
SES0186,2025-07-05,Mobile,Email,10,0.65,1,No,No,No,7288.34
SES0187,2025-11-16,Mobile,Social,7,2.23,8,No,No,No,8780.59
SES0188,2025-10-22,Mobile,Direct,12,4.44,7,No,No,No,2506.97
SES0189,2025-07-15,Desktop,Direct,11,2.12,5,No,No,No,3331.55
SES0190,2025-07-29,Desktop,Organic,3,4.5,0,No,No,No,4567.71
SES0191,2025-11-25,Desktop,Referral,15,1.11,11,No,No,No,4567.71
SES0192,2025-06-12,Mobile,Direct,8,14.81,1,No,No,No,4547.47
SES0193,2025-10-18,Desktop,Paid,4,2.22,3,No,Yes,No,7288.34
SES0194,2025-07-03,Mobile,Social,2,13.32,6,Yes,Yes,No,5314.5
SES0195,2025-11-24,Desktop,Paid,11,2.47,8,No,No,No,5314.5
SES0196,2025-06-21,Desktop,Referral,5,8.11,9,No,Yes,No,7859.36
SES0197,2025-07-30,Desktop,Email,1,1.91,4,No,No,No,7859.36
SES0198,2025-07-22,Mobile,Organic,13,6.04,9,No,Yes,No,5729.59
SES0199,2025-11-14,Mobile,Organic,8,2.46,1,No,No,No,0.0
SES0200,2025-11-24,Mobile,Social,14,4.06,10,No,No,No,7859.36
SES0201,2025-10-01,Desktop,Direct,8,6.1,10,No,No,No,7288.34
SES0202,2025-09-14,Mobile,Direct,3,4.94,10,No,No,No,7859.36
SES0203,2025-09-08,Mobile,Direct,1,4.79,0,No,No,No,11021.38
SES0204,2025-11-01,Mobile,Organic,4,0.84,9,No,No,No,4567.71
SES0205,2025-08-10,Desktop,Email,9,1.93,0,Yes,No,Yes,3752.42
SES0206,2025-10-13,Mobile,Direct,9,4.74,4,No,No,No,9245.98
SES0207,2025-08-01,Desktop,Paid,15,0.59,6,Yes,Yes,No,0.0
SES0208,2025-08-27,Desktop,Direct,1,1.94,8,No,No,Yes,7859.36
SES0209,2025-06-24,Desktop,Email,11,1.8,8,Yes,Yes,No,2506.97
SES0210,2025-07-10,Mobile,Social,15,1.94,7,No,No,No,2152.97
SES0211,2025-08-15,Desktop,Social,7,4.34,0,Yes,No,No,3752.42
SES0212,2025-11-22,Mobile,Organic,6,4.86,4,No,No,No,2152.97
SES0213,2025-10-14,Mobile,Email,14,12.48,5,No,No,No,8780.59
SES0214,2025-06-09,Mobile,Paid,7,2.94,5,Yes,No,No,11021.38
SES0215,2025-06-03,Mobile,Email,7,13.56,3,No,No,No,3361.74
SES0216,2025-06-21,Mobile,Paid,8,5.78,0,Yes,No,No,7859.36
SES0217,2025-09-03,Mobile,Paid,8,12.69,2,No,No,Yes,3752.42
SES0218,2025-11-23,Mobile,Email,10,9.46,9,No,No,No,5795.45
SES0219,2025-11-22,Mobile,Referral,14,6.32,3,No,No,No,9245.98
SES0220,2025-06-16,Mobile,Email,11,2.7,3,No,No,No,3752.42
SES0221,2025-09-15,Mobile,Paid,2,1.88,3,No,No,No,3752.42
SES0222,2025-09-01,Desktop,Direct,12,1.76,4,Yes,No,No,7288.34
SES0223,2025-10-11,Mobile,Social,12,15.7,10,No,No,Yes,13134.61
SES0224,2025-10-17,Mobile,Social,12,16.42,8,Yes,No,No,3331.55
SES0225,2025-11-04,Mobile,Organic,4,6.95,3,No,Yes,No,3331.55
SES0226,2025-08-18,Mobile,Social,4,11.26,8,No,No,No,1155.51
SES0227,2025-08-09,Mobile,Referral,13,13.07,8,Yes,No,No,11021.38
SES0228,2025-07-18,Mobile,Paid,15,4.08,0,Yes,No,No,5729.59
SES0229,2025-06-15,Tablet,Email,11,5.46,4,Yes,No,No,9245.98
SES0230,2025-07-04,Desktop,Email,10,3.21,8,No,No,No,10928.1
SES0231,2025-07-30,Desktop,Referral,12,3.21,3,No,No,No,3331.55
SES0232,2025-06-02,Tablet,Social,13,0.7,4,No,No,No,7288.34
SES0233,2025-08-19,Desktop,Paid,8,3.34,3,No,No,No,0.0
SES0234,2025-06-19,Desktop,Social,14,6.1,1,Yes,Yes,No,3331.55
SES0235,2025-07-19,Desktop,Organic,13,3.24,9,No,Yes,No,13134.61
SES0236,2025-08-17,Mobile,Social,13,10.79,1,No,No,No,3752.42
SES0237,2025-06-28,Mobile,Organic,3,2.52,1,No,No,Yes,3752.42
SES0238,2025-07-18,Mobile,Email,12,1.21,0,No,No,No,1155.51
SES0239,2025-09-04,Mobile,Paid,13,8.84,2,No,Yes,No,10928.1
SES0240,2025-11-12,Tablet,Direct,15,6.1,10,Yes,No,No,1155.51
SES0241,2025-11-24,Mobile,Organic,13,1.88,9,No,No,No,7859.36
SES0242,2025-09-17,Desktop,Social,12,4.34,0,No,No,Yes,5729.59
SES0243,2025-11-23,Mobile,Social,3,3.07,3,No,No,No,7288.34
SES0244,2025-08-12,Mobile,Email,13,14.47,0,No,No,No,8780.59
SES0245,2025-09-08,Mobile,Referral,2,5.17,3,No,No,No,11021.38
SES0246,2025-06-29,Mobile,Direct,1,1.36,2,No,No,No,3752.42
SES0247,2025-11-04,Mobile,Referral,8,3.99,8,No,No,No,2506.97
SES0248,2025-07-28,Mobile,Social,14,10.42,0,No,No,No,8780.59
SES0249,2025-07-18,Mobile,Referral,9,6.07,7,No,No,No,3331.55
SES0250,2025-06-23,Mobile,Direct,9,9.74,10,Yes,No,No,13134.61
SES0251,2025-06-27,Mobile,Direct,11,1.94,8,Yes,Yes,No,2506.97
SES0252,2025-06-07,Mobile,Paid,8,11.46,11,No,No,No,7859.36
SES0253,2025-07-19,Mobile,Referral,5,7.54,6,Yes,No,No,10928.1
SES0254,2025-09-17,Mobile,Paid,1,7.03,0,Yes,No,Yes,10928.1
SES0255,2025-08-07,Mobile,Social,9,2.63,3,No,Yes,No,1155.51
SES0256,2025-11-17,Mobile,Social,6,11.43,9,Yes,No,No,5314.5
SES0257,2025-11-19,Mobile,Social,12,5.58,0,No,No,No,3331.55
SES0258,2025-11-01,Mobile,Email,15,10.05,3,No,No,No,11021.38
SES0259,2025-10-29,Desktop,Referral,7,2.74,2,No,No,No,7859.36
SES0260,2025-08-12,Mobile,Organic,8,1.29,1,Yes,No,No,2152.97
SES0261,2025-09-09,Mobile,Direct,13,2.52,0,Yes,No,No,5795.45
SES0262,2025-06-08,Mobile,Organic,5,3.54,5,No,No,No,4547.47
SES0263,2025-07-23,Mobile,Social,6,4.31,11,No,No,No,5314.5
SES0264,2025-10-20,Mobile,Referral,12,4.08,6,No,No,No,1155.51
SES0265,2025-10-13,Desktop,Paid,13,4.45,5,Yes,Yes,No,3331.55
SES0266,2025-10-15,Desktop,Organic,7,9.72,8,No,No,No,4547.47
SES0267,2025-06-03,Mobile,Social,7,1.43,11,Yes,No,No,3361.74
SES0268,2025-08-17,Desktop,Organic,2,2.4,8,No,No,No,3361.74
SES0269,2025-10-23,Mobile,Organic,14,11.47,1,No,No,Yes,7859.36
SES0270,2025-11-19,Desktop,Direct,11,4.61,1,Yes,No,No,4547.47
SES0271,2025-08-25,Desktop,Organic,12,4.88,8,No,No,No,5729.59
SES0272,2025-07-16,Desktop,Social,14,3.75,0,Yes,No,No,5795.45
SES0273,2025-08-29,Mobile,Direct,1,4.48,4,No,No,No,3752.42
SES0274,2025-11-03,Mobile,Social,8,1.6,0,No,No,No,13134.61
SES0275,2025-10-20,Mobile,Email,5,4.46,6,Yes,Yes,No,9905.46
SES0276,2025-06-09,Mobile,Email,10,29.84,8,No,No,No,1155.51
SES0277,2025-09-23,Mobile,Email,15,4.67,5,No,No,No,4567.71
SES0278,2025-11-01,Mobile,Organic,2,0.73,1,No,No,No,3361.74
SES0279,2025-10-08,Mobile,Referral,3,8.46,5,Yes,No,No,3752.42
SES0280,2025-08-14,Desktop,Social,6,3.02,8,No,No,No,8780.59
SES0281,2025-08-20,Mobile,Email,10,1.33,2,Yes,No,No,7288.34
SES0282,2025-10-06,Desktop,Referral,6,10.42,8,No,No,No,1155.51
SES0283,2025-07-04,Mobile,Email,8,1.6,7,No,Yes,No,5729.59
SES0284,2025-10-25,Desktop,Email,5,13.18,11,Yes,No,No,7288.34
SES0285,2025-07-09,Mobile,Referral,5,3.42,6,Yes,No,No,1155.51
SES0286,2025-06-13,Mobile,Email,7,7.29,7,No,No,No,2506.97
SES0287,2025-10-11,Desktop,Organic,10,4.46,9,No,No,No,11021.38
SES0288,2025-07-20,Mobile,Organic,13,1.98,5,No,Yes,No,7288.34
SES0289,2025-06-23,Mobile,Direct,14,6.06,2,Yes,No,Yes,7859.36
SES0290,2025-09-30,Mobile,Organic,15,16.34,6,No,No,No,2506.97
SES0291,2025-09-28,Mobile,Paid,5,7.84,3,Yes,Yes,Yes,3361.74
SES0292,2025-08-27,Mobile,Direct,15,5.13,10,No,No,No,13134.61
SES0293,2025-11-04,Mobile,Email,9,23.85,9,No,No,No,5314.5
SES0294,2025-09-20,Desktop,Paid,6,2.04,4,No,No,No,5729.59
SES0295,2025-09-19,Mobile,Social,7,0.82,7,Yes,No,No,10928.1
SES0296,2025-08-11,Mobile,Referral,12,0.66,6,No,No,Yes,5729.59
SES0297,2025-11-01,Desktop,Social,8,6.7,6,No,Yes,No,2152.97
SES0298,2025-07-27,Mobile,Paid,13,9.37,7,No,Yes,No,11021.38
SES0299,2025-06-01,Mobile,Organic,5,5.54,9,Yes,No,No,5729.59
SES0300,2025-11-03,Mobile,Email,14,12.27,2,No,No,No,7859.36
SES0301,2025-09-21,Desktop,Direct,11,6.49,2,No,Yes,Yes,3173.61
SES0302,2025-08-01,Mobile,Email,4,2.82,1,Yes,No,No,9905.46
SES0303,2025-07-17,Desktop,Organic,15,1.5,0,No,No,No,11021.38
SES0304,2025-08-17,Mobile,Email,12,13.43,9,Yes,Yes,No,3173.61
SES0305,2025-09-14,Tablet,Referral,15,1.05,5,No,No,No,4567.71
SES0306,2025-11-06,Desktop,Referral,8,4.42,5,No,No,No,1155.51
SES0307,2025-10-04,Mobile,Referral,12,2.38,9,No,No,No,11021.38
SES0308,2025-11-24,Desktop,Social,10,2.08,11,No,Yes,No,5795.45
SES0309,2025-06-05,Mobile,Organic,9,5.69,7,No,No,No,11021.38
SES0310,2025-07-01,Mobile,Referral,1,1.81,5,Yes,Yes,No,8780.59
SES0311,2025-07-07,Mobile,Paid,3,12.91,5,No,No,No,3752.42
SES0312,2025-08-18,Mobile,Referral,12,3.1,0,No,No,No,9905.46
SES0313,2025-10-21,Desktop,Direct,4,6.16,11,No,No,No,4567.71
SES0314,2025-07-22,Mobile,Social,13,7.01,6,Yes,No,No,11021.38
SES0315,2025-10-17,Mobile,Paid,7,6.24,6,No,No,Yes,13134.61
SES0316,2025-07-13,Mobile,Organic,6,12.19,9,No,No,No,2506.97
SES0317,2025-10-29,Mobile,Organic,10,1.81,8,No,Yes,No,0.0
SES0318,2025-07-10,Mobile,Direct,10,0.95,11,No,No,No,9245.98
SES0319,2025-08-02,Desktop,Referral,11,0.79,6,Yes,No,No,7288.34
SES0320,2025-10-08,Tablet,Paid,1,11.01,7,No,No,No,3331.55
SES0321,2025-08-26,Mobile,Direct,4,18.61,3,No,No,No,4567.71
SES0322,2025-08-12,Mobile,Paid,6,2.3,8,Yes,No,No,3173.61
SES0323,2025-11-22,Mobile,Referral,3,6.41,0,Yes,No,No,5795.45
SES0324,2025-09-12,Desktop,Referral,15,0.54,7,No,No,No,3331.55
SES0325,2025-11-05,Mobile,Email,2,1.55,2,No,No,No,3752.42
SES0326,2025-06-16,Mobile,Email,2,6.34,0,No,No,No,9905.46
SES0327,2025-07-29,Desktop,Referral,10,0.84,1,No,No,No,5795.45
SES0328,2025-07-17,Mobile,Social,12,3.66,5,Yes,No,No,3361.74
SES0329,2025-09-24,Mobile,Direct,12,5.93,4,No,No,No,5314.5
SES0330,2025-11-05,Desktop,Email,4,7.76,2,No,No,No,13134.61
SES0331,2025-09-17,Mobile,Referral,13,3.52,8,No,No,No,3331.55
SES0332,2025-06-09,Mobile,Paid,1,5.48,7,No,No,No,3331.55
SES0333,2025-08-04,Mobile,Direct,15,4.38,2,No,No,Yes,7859.36
SES0334,2025-07-29,Mobile,Email,10,0.77,1,No,No,Yes,11021.38
SES0335,2025-09-10,Mobile,Social,2,7.29,7,No,Yes,No,13134.61
SES0336,2025-10-14,Desktop,Direct,13,1.45,4,No,No,No,5729.59
SES0337,2025-10-01,Mobile,Direct,10,0.66,8,No,No,No,3752.42
SES0338,2025-11-27,Desktop,Organic,15,3.5,0,No,No,No,2152.97
SES0339,2025-10-24,Mobile,Paid,2,10.54,9,No,No,No,4567.71
SES0340,2025-08-30,Mobile,Social,4,1.32,2,No,Yes,No,8780.59
