SKU,Product_Category,Warehouse,Stock_On_Hand,Reorder_Level,Units_Sold_30D,Unit_Cost,Supplier_Rating,Lead_Time_Days,Defective_Units
SKU0223,Accessories,WH-Pune,185,82,87,1497.17,4.8,18,13
SKU0224,Accessories,WH-Delhi,494,48,241,452.85,2.3,22,2
SKU0225,Furniture,WH-Mumbai,11,38,39,2436.53,4.6,29,17
SKU0226,Furniture,WH-Bengaluru,128,110,181,1267.57,2.5,24,5
SKU0227,Home,WH-Pune,371,48,208,2297.36,3.5,29,16
SKU0228,Home,WH-Delhi,433,135,272,2863.84,2.7,21,13
SKU0229,Stationery,WH-Mumbai,408,89,118,2549.94,3.8,26,13
SKU0230,Electronics,WH-Mumbai,207,142,23,2854.88,3.7,19,19
SKU0231,Electronics,WH-Pune,132,42,257,1708.13,3.1,27,12
SKU0232,Home,WH-Pune,338,65,91,504.32,4.6,8,2
SKU0233,Furniture,WH-Delhi,195,27,160,2806.83,4.0,24,12
SKU0234,Stationery,WH-Bengaluru,261,85,148,2606.83,4.2,20,1
SKU0235,Electronics,WH-Delhi,281,119,116,2594.59,2.5,8,8
SKU0236,Home,WH-Delhi,368,80,52,2082.89,4.6,21,12
SKU0237,Furniture,WH-Pune,102,131,44,1878.5,2.5,29,7
SKU0238,Furniture,WH-Delhi,119,71,264,54.02,2.7,11,15
SKU0239,Furniture,WH-Delhi,182,55,261,2246.68,2.4,21,2
SKU0240,Accessories,WH-Bengaluru,422,131,233,283.69,3.3,3,12
SKU0241,Furniture,WH-Mumbai,8,106,34,786.66,4.7,23,3
SKU0242,Home,WH-Mumbai,44,104,196,1658.96,2.8,27,17
SKU0243,Stationery,WH-Bengaluru,243,32,24,1360.68,3.1,14,1
SKU0244,Home,WH-Mumbai,269,66,201,57.17,4.5,27,19
SKU0245,Furniture,WH-Delhi,111,109,272,2473.72,3.9,9,14
SKU0246,Stationery,WH-Bengaluru,54,41,35,2637.61,4.3,25,16
SKU0247,Electronics,WH-Bengaluru,392,77,222,2048.8,2.6,1,9
SKU0248,Electronics,WH-Pune,14,49,276,1627.79,4.1,1,0
SKU0249,Home,WH-Mumbai,36,125,17,2882.61,2.7,26,5
SKU0250,Stationery,WH-Pune,177,93,187,368.67,5.0,28,2
SKU0251,Home,WH-Delhi,126,113,256,2216.35,3.7,12,18
SKU0252,Stationery,WH-Bengaluru,116,90,141,393.8,4.1,11,6
SKU0253,Stationery,WH-Delhi,339,26,135,1151.72,2.4,21,12
SKU0254,Home,WH-Mumbai,71,84,78,1760.6,2.8,1,12
SKU0255,Stationery,WH-Pune,351,65,291,2213.89,2.4,20,16
SKU0256,Furniture,WH-Mumbai,110,37,61,21.11,3.2,12,0
SKU0257,Stationery,WH-Delhi,148,27,128,789.19,2.9,17,13
SKU0258,Stationery,WH-Pune,184,93,297,1619.22,4.2,15,2
SKU0259,Home,WH-Mumbai,104,121,256,1603.29,2.3,2,13
SKU0260,Electronics,WH-Delhi,146,98,211,1916.5,4.3,18,0
SKU0261,Accessories,WH-Mumbai,220,98,53,918.52,2.1,16,15
SKU0262,Stationery,WH-Bengaluru,313,140,174,1626.18,2.6,4,9
SKU0263,Accessories,WH-Pune,350,82,99,577.46,4.4,8,12
SKU0264,Stationery,WH-Pune,373,59,38,568.75,4.2,2,3
SKU0265,Home,WH-Pune,5,103,262,1733.93,3.4,14,8
SKU0266,Home,WH-Bengaluru,259,34,149,2059.56,2.1,25,13
SKU0267,Stationery,WH-Pune,298,118,120,370.0,3.8,15,3
SKU0268,Home,WH-Bengaluru,348,140,177,377.14,3.2,28,9
SKU0269,Home,WH-Pune,41,82,119,1700.26,2.9,9,7
SKU0270,Stationery,WH-Mumbai,258,147,71,817.59,3.9,2,2
SKU0271,Electronics,WH-Mumbai,384,131,218,1183.27,3.3,17,6
SKU0272,Stationery,WH-Mumbai,491,130,122,1208.24,2.3,26,9
SKU0273,Electronics,WH-Mumbai,438,51,243,543.87,4.7,10,2
SKU0274,Home,WH-Bengaluru,270,64,74,13.93,4.3,9,1
SKU0275,Electronics,WH-Delhi,46,141,5,2560.92,2.2,2,14
SKU0276,Home,WH-Delhi,84,101,20,2147.86,3.6,24,8
SKU0277,Electronics,WH-Mumbai,173,32,189,2074.71,2.3,30,14
SKU0278,Electronics,WH-Delhi,57,43,224,1644.05,4.5,19,16
SKU0279,Stationery,WH-Delhi,478,33,102,2105.9,3.8,17,6
SKU0280,Electronics,WH-Pune,198,89,98,2807.71,2.5,11,19
SKU0281,Home,WH-Bengaluru,208,81,82,2000.36,2.1,17,17
SKU0282,Stationery,WH-Mumbai,247,139,180,802.62,2.1,10,14
SKU0283,Electronics,WH-Delhi,210,108,151,1715.97,3.5,18,17
SKU0284,Stationery,WH-Delhi,38,20,55,1332.55,4.2,23,11
SKU0285,Accessories,WH-Mumbai,251,145,189,1673.69,2.4,28,7
SKU0286,Stationery,WH-Pune,130,51,21,1557.66,2.7,6,1
SKU0287,Accessories,WH-Mumbai,413,51,67,2577.74,3.0,16,1
SKU0288,Accessories,WH-Pune,290,75,184,1958.88,2.7,28,4
SKU0289,Stationery,WH-Delhi,249,110,9,574.39,3.2,27,0
SKU0290,Home,WH-Bengaluru,440,23,65,198.42,3.7,18,3
SKU0291,Home,WH-Pune,412,42,263,1278.85,4.1,20,5
SKU0292,Home,WH-Pune,433,48,224,56.68,4.9,18,12
SKU0293,Furniture,WH-Mumbai,445,117,122,961.71,4.8,1,18
SKU0294,Accessories,WH-Delhi,51,49,37,1110.38,3.7,28,10
SKU0295,Stationery,WH-Bengaluru,373,109,122,1133.01,4.2,3,12
SKU0296,Home,WH-Mumbai,13,86,155,2938.26,4.9,15,7
SKU0297,Home,WH-Mumbai,418,120,66,918.66,2.3,20,6
SKU0298,Stationery,WH-Bengaluru,155,77,132,803.03,2.0,10,12
SKU0299,Accessories,WH-Delhi,441,44,139,396.85,2.1,21,0
SKU0300,Stationery,WH-Bengaluru,29,42,81,1537.92,3.7,5,5
