Employee_ID,Department,Job_Level,Location,Join_Date,Age,Monthly_Salary,Performance_Score,Training_Hours,Projects_Completed,Overtime_Hours,Attrition
EMP0050,Marketing,Junior,Pune,2019-12-29,34,145321,3.3,72,0,22,No
EMP0051,Sales,Mid,Bengaluru,2021-01-20,36,70028,2.4,30,9,16,No
EMP0052,Finance,Junior,Pune,2019-04-28,35,171367,2.3,25,11,6,No
EMP0053,HR,Junior,Bengaluru,2025-02-03,24,138141,3.6,80,4,15,No
EMP0054,IT,Senior,Pune,2026-02-26,47,80248,4.4,55,9,39,Yes
EMP0055,IT,Junior,Delhi,2024-09-13,43,35523,3.4,33,8,35,No
EMP0056,Sales,Mid,Delhi,2021-05-15,49,70530,4.4,8,11,19,Yes
EMP0057,Sales,Mid,Bengaluru,2025-04-20,29,38769,2.1,61,10,23,No
EMP0058,Sales,Mid,Bengaluru,2026-01-05,27,137035,3.1,12,11,4,No
EMP0059,Finance,Mid,Mumbai,2023-11-19,24,104782,2.8,68,5,5,No
EMP0060,HR,Mid,Mumbai,2020-05-29,25,103382,1.0,40,7,27,No
EMP0061,IT,Junior,Delhi,2020-04-09,25,135939,3.2,76,9,4,No
EMP0062,Marketing,Senior,Delhi,2023-07-18,31,169542,3.6,0,0,38,No
EMP0063,Operations,Senior,Mumbai,2020-01-29,48,103712,3.4,46,9,37,Yes
EMP0064,Finance,Junior,Mumbai,2018-06-12,36,143643,3.9,3,10,1,No
EMP0065,IT,Junior,Bengaluru,2021-04-11,50,132417,3.3,62,6,38,No
EMP0066,HR,Senior,Pune,2024-12-24,24,162877,1.3,51,2,20,No
EMP0067,Finance,Mid,Bengaluru,2025-02-07,22,153256,1.5,9,8,39,No
EMP0068,Marketing,Mid,Mumbai,2021-07-31,23,126422,3.4,27,5,36,No
EMP0069,IT,Mid,Delhi,2024-08-25,41,114300,2.1,5,4,17,No
EMP0070,Finance,Junior,Mumbai,2025-12-27,26,31630,1.3,26,7,11,No
EMP0071,IT,Mid,Delhi,2026-01-31,38,149474,2.7,11,7,16,No
EMP0072,IT,Mid,Delhi,2023-06-19,25,123869,3.2,61,11,36,No
EMP0073,HR,Junior,Delhi,2023-04-19,29,40701,2.3,51,11,37,No
EMP0074,Operations,Mid,Delhi,2022-04-06,40,170931,3.9,47,2,14,No
EMP0075,HR,Senior,Pune,2025-04-10,48,177255,3.6,66,1,6,Yes
EMP0076,IT,Mid,Mumbai,2018-11-03,46,122285,2.3,45,14,13,No
EMP0077,Finance,Junior,Bengaluru,2021-09-24,38,142556,4.0,73,1,0,No
EMP0078,Marketing,Mid,Delhi,2023-10-04,39,40021,3.6,14,13,37,No
EMP0079,HR,Senior,Delhi,2018-11-29,23,89361,3.5,70,4,2,Yes
EMP0080,Operations,Senior,Bengaluru,2023-12-15,29,157317,3.2,35,15,36,No
EMP0081,IT,Mid,Bengaluru,2025-07-15,56,35355,1.0,13,9,30,Yes
EMP0082,Marketing,Junior,Delhi,2018-08-31,51,123841,3.8,77,15,12,No
EMP0083,HR,Senior,Bengaluru,2023-02-28,37,42198,2.5,2,11,17,Yes
EMP0084,HR,Mid,Bengaluru,2025-04-01,43,91951,4.8,66,15,16,No
EMP0085,HR,Junior,Pune,2021-12-03,54,157724,4.3,18,6,16,No
EMP0086,HR,Mid,Bengaluru,2024-12-25,25,43740,3.4,75,7,10,Yes
EMP0087,Marketing,Mid,Mumbai,2025-04-05,35,28810,2.0,53,9,19,No
EMP0088,Finance,Mid,Mumbai,2018-10-30,23,148743,1.8,68,14,9,No
EMP0089,Operations,Junior,Mumbai,2018-08-23,39,172641,2.4,9,7,28,No
EMP0090,Operations,Mid,Delhi,2023-12-27,48,124855,2.9,32,12,33,Yes
EMP0091,IT,Senior,Mumbai,2018-07-14,23,51783,2.2,12,11,16,No
EMP0092,Sales,Senior,Pune,2022-03-31,58,146701,3.1,50,7,12,No
EMP0093,Finance,Lead,Mumbai,2022-11-28,24,103047,1.7,31,14,38,No
EMP0094,IT,Lead,Delhi,2019-10-09,44,34471,4.9,74,9,26,Yes
EMP0095,IT,Junior,Pune,2023-08-11,51,135771,1.4,23,11,25,No
EMP0096,HR,Mid,Mumbai,2019-07-15,31,31163,4.7,34,10,27,No
EMP0097,Sales,Mid,Pune,2021-01-24,57,87071,4.7,69,2,12,No
EMP0098,Sales,Senior,Pune,2019-12-14,21,41065,3.1,39,13,11,No
EMP0099,Finance,Junior,Delhi,2019-02-17,29,147323,3.9,53,10,27,No
EMP0100,Sales,Lead,Delhi,2019-06-22,37,142969,2.7,43,1,1,No
EMP0101,IT,Mid,Pune,2023-02-22,21,108456,3.5,61,12,36,No
EMP0102,Sales,Senior,Mumbai,2024-10-12,23,44154,2.4,67,3,33,No
EMP0103,Sales,Junior,Delhi,2018-08-23,46,130703,2.2,32,14,22,No
EMP0104,Operations,Junior,Pune,2024-07-24,51,45229,3.3,76,0,28,No
EMP0105,IT,Senior,Bengaluru,2022-11-15,46,77587,3.0,55,2,34,No
EMP0106,Marketing,Junior,Bengaluru,2023-03-09,43,74713,3.3,35,10,10,No
EMP0107,Sales,Senior,Delhi,2022-02-13,50,46101,2.1,53,8,32,No
EMP0108,Sales,Junior,Mumbai,2023-02-06,30,65391,2.5,18,6,10,No
EMP0109,HR,Mid,Bengaluru,2024-09-09,28,97723,1.3,42,6,8,No
EMP0110,Sales,Mid,Bengaluru,2021-10-06,45,125264,1.2,11,0,13,No
EMP0111,Sales,Mid,Bengaluru,2019-02-20,42,62921,2.0,10,6,8,No
EMP0112,Operations,Senior,Mumbai,2023-03-25,35,53460,1.3,69,9,38,No
EMP0113,IT,Mid,Mumbai,2020-07-04,30,177143,1.4,11,6,2,No
EMP0114,Finance,Junior,Delhi,2018-03-22,40,116725,4.3,40,3,28,No
EMP0115,IT,Junior,Delhi,2023-09-15,43,83445,1.2,24,6,18,No
EMP0116,HR,Mid,Bengaluru,2020-12-26,21,107208,3.6,2,7,35,No
EMP0117,IT,Mid,Mumbai,2025-05-12,22,131283,2.1,2,15,31,No
EMP0118,Sales,Senior,Pune,2026-01-08,39,110779,4.5,27,2,6,No
EMP0119,HR,Mid,Bengaluru,2022-08-18,34,28060,2.9,22,12,27,No
EMP0120,IT,Mid,Delhi,2020-01-27,28,150806,2.2,47,9,17,No
EMP0121,HR,Mid,Mumbai,2025-04-24,58,38731,3.1,66,1,4,No
EMP0122,Finance,Junior,Delhi,2019-04-13,32,102830,2.5,41,6,22,Yes
EMP0123,IT,Mid,Delhi,2021-03-11,46,140871,3.3,39,4,21,Yes
EMP0124,Marketing,Lead,Mumbai,2024-07-31,47,45719,1.5,5,4,25,No
EMP0125,Sales,Senior,Bengaluru,2025-07-19,49,74116,5.0,19,13,11,No
EMP0126,HR,Mid,Mumbai,2022-02-03,35,51325,2.7,10,4,39,Yes
EMP0127,Marketing,Mid,Bengaluru,2022-07-03,21,178669,2.4,26,14,18,No
EMP0128,Marketing,Senior,Delhi,2020-10-16,48,39551,3.8,20,6,0,No
EMP0129,Operations,Mid,Mumbai,2022-06-03,23,118287,2.5,12,8,2,No
EMP0130,HR,Junior,Pune,2020-06-20,38,49278,4.3,34,10,26,No
EMP0131,Marketing,Junior,Bengaluru,2019-11-04,54,40141,2.8,46,7,17,No
EMP0132,Operations,Mid,Pune,2019-03-15,52,92913,3.9,27,5,29,Yes
EMP0133,Marketing,Lead,Bengaluru,2025-01-22,49,58615,1.4,20,6,1,No
EMP0134,Sales,Senior,Mumbai,2018-05-07,45,147058,4.4,17,8,4,No
EMP0135,Finance,Junior,Pune,2024-03-02,46,137684,3.9,30,13,28,No
EMP0136,Operations,Junior,Mumbai,2023-09-08,59,52452,1.8,59,10,32,No
EMP0137,Finance,Senior,Bengaluru,2019-03-21,28,178797,1.6,36,5,19,No
EMP0138,HR,Senior,Bengaluru,2020-08-23,39,75391,2.3,20,0,29,No
EMP0139,Sales,Mid,Bengaluru,2019-04-09,42,145288,4.9,13,3,4,No
EMP0140,Operations,Mid,Bengaluru,2024-01-08,49,138535,2.0,59,7,20,No
EMP0141,HR,Junior,Delhi,2024-04-06,53,167770,2.8,22,6,14,No
EMP0142,Marketing,Senior,Bengaluru,2024-05-02,58,111711,1.1,28,15,19,No
EMP0143,IT,Senior,Pune,2020-07-01,55,102850,2.6,46,2,7,Yes
EMP0144,HR,Junior,Bengaluru,2019-05-12,23,134733,3.3,29,9,30,No
EMP0145,Finance,Senior,Mumbai,2022-01-03,39,27365,4.8,37,2,11,Yes
EMP0146,Sales,Junior,Delhi,2022-11-07,30,122662,3.1,26,10,20,No
EMP0147,Sales,Junior,Pune,2025-06-25,47,68372,4.3,14,2,29,Yes
EMP0148,HR,Junior,Delhi,2018-06-07,35,69134,3.2,58,11,26,No
EMP0149,Marketing,Junior,Delhi,2018-06-21,31,62823,1.2,2,14,25,Yes
EMP0150,IT,Mid,Delhi,2019-05-09,46,96158,2.3,9,0,32,Yes
EMP0151,Finance,Mid,Mumbai,2020-08-27,44,121076,3.3,78,14,25,No
EMP0152,HR,Mid,Delhi,2021-08-27,33,158021,4.8,79,9,25,No
EMP0153,HR,Mid,Delhi,2021-11-27,52,74396,4.4,16,0,35,Yes
EMP0154,Sales,Junior,Bengaluru,2022-08-20,57,133336,1.9,10,5,39,Yes
EMP0155,Finance,Junior,Mumbai,2022-11-29,24,56912,1.9,47,13,0,Yes
EMP0156,IT,Mid,Pune,2025-06-16,33,81947,1.8,4,13,14,No
EMP0157,Sales,Mid,Pune,2019-10-21,29,69387,4.7,68,0,0,No
EMP0158,HR,Junior,Pune,2026-01-29,54,41508,4.4,63,4,10,Yes
EMP0159,Sales,Senior,Mumbai,2019-10-28,57,70592,4.1,13,3,1,No
EMP0160,Sales,Senior,Pune,2019-01-02,27,134249,2.6,49,4,0,No
EMP0161,Operations,Senior,Mumbai,2019-07-04,21,26919,3.0,25,6,30,No
EMP0162,Sales,Mid,Bengaluru,2019-10-05,32,67595,2.9,71,5,15,No
EMP0163,Marketing,Junior,Bengaluru,2023-03-09,41,165689,2.0,68,11,21,No
EMP0164,Sales,Senior,Mumbai,2018-09-12,31,58298,3.0,6,8,17,Yes
EMP0165,Marketing,Junior,Pune,2018-07-27,34,163001,1.1,15,5,16,No
EMP0166,Finance,Mid,Mumbai,2024-11-02,54,39456,1.5,54,8,29,No
EMP0167,Sales,Junior,Mumbai,2018-04-05,54,134599,4.5,77,3,9,No
EMP0168,IT,Senior,Delhi,2023-02-27,45,111676,4.0,55,0,34,No
EMP0169,Marketing,Junior,Mumbai,2025-11-26,24,108721,2.7,3,0,20,No
EMP0170,Marketing,Senior,Delhi,2019-04-23,46,62924,3.1,47,9,15,No
EMP0171,HR,Senior,Bengaluru,2025-06-23,36,49240,2.5,16,6,5,No
EMP0172,Finance,Mid,Delhi,2020-02-01,30,112381,4.0,35,12,2,No
EMP0173,Sales,Senior,Mumbai,2018-07-09,22,34228,4.1,69,15,40,No
EMP0174,IT,Mid,Bengaluru,2025-07-21,55,46686,4.1,79,12,20,Yes
EMP0175,HR,Senior,Delhi,2022-02-16,39,36920,3.9,37,12,12,No
EMP0176,Finance,Mid,Mumbai,2022-10-23,26,32432,1.8,61,2,17,No
EMP0177,Marketing,Senior,Bengaluru,2022-04-09,39,135507,2.4,47,1,23,Yes
EMP0178,IT,Mid,Delhi,2020-01-26,28,155509,2.9,9,15,26,Yes
EMP0179,Sales,Lead,Mumbai,2021-12-17,34,96725,2.3,35,13,3,No
EMP0180,Operations,Mid,Mumbai,2020-04-15,30,146764,4.0,28,5,21,No
EMP0181,Operations,Mid,Pune,2022-07-22,23,84099,2.3,77,5,23,No
EMP0182,Finance,Senior,Pune,2022-06-17,58,137557,1.6,3,12,39,Yes
EMP0183,IT,Senior,Delhi,2023-01-10,49,111760,2.6,43,6,9,No
EMP0184,HR,Mid,Delhi,2018-05-13,35,43013,4.9,55,4,1,No
EMP0185,IT,Junior,Delhi,2018-02-24,43,46446,1.9,41,7,39,No
EMP0186,Marketing,Mid,Mumbai,2019-05-25,43,130209,3.4,12,6,5,No
EMP0187,Operations,Lead,Delhi,2019-11-01,38,127261,2.7,45,1,17,No
EMP0188,Finance,Senior,Mumbai,2024-09-23,39,120739,1.3,32,14,16,No
EMP0189,Sales,Senior,Delhi,2022-08-17,48,25557,3.0,20,15,37,No
EMP0190,IT,Junior,Mumbai,2021-08-09,46,155878,3.8,79,0,22,No
EMP0191,Operations,Mid,Mumbai,2020-01-04,30,124143,3.1,78,12,29,No
EMP0192,HR,Mid,Pune,2022-08-21,24,49578,4.5,56,13,20,No
EMP0193,Finance,Senior,Bengaluru,2018-09-16,22,99779,2.2,68,8,9,No
EMP0194,Sales,Junior,Mumbai,2021-02-19,23,165668,1.3,69,4,12,No
EMP0195,IT,Senior,Delhi,2018-10-26,27,82500,4.7,66,11,11,Yes
EMP0196,HR,Mid,Pune,2019-07-15,36,97534,2.5,47,10,8,No
EMP0197,Sales,Junior,Delhi,2023-03-28,51,35129,3.3,75,4,3,No
EMP0198,Marketing,Mid,Delhi,2023-02-08,30,36596,4.2,32,11,38,No
EMP0199,Operations,Junior,Mumbai,2018-10-24,39,90355,2.3,35,15,23,No
EMP0200,Marketing,Mid,Mumbai,2024-08-06,48,37974,3.9,32,9,33,Yes
EMP0201,Operations,Junior,Bengaluru,2025-03-21,37,137004,1.5,30,3,38,Yes
EMP0202,HR,Junior,Mumbai,2022-01-01,48,151794,2.2,20,1,40,No
EMP0203,Marketing,Senior,Mumbai,2023-12-15,39,95202,1.6,26,4,4,No
EMP0204,Operations,Junior,Bengaluru,2018-07-16,57,99442,4.2,71,1,14,Yes
EMP0205,Finance,Junior,Delhi,2024-03-18,43,177890,1.9,61,11,3,No
EMP0206,HR,Mid,Bengaluru,2020-09-21,40,80598,3.9,25,6,38,No
EMP0207,Operations,Mid,Bengaluru,2023-11-09,33,158726,4.8,65,10,7,No
EMP0208,IT,Senior,Bengaluru,2024-09-24,33,58758,3.1,11,8,23,No
EMP0209,Operations,Mid,Pune,2018-01-08,31,49204,3.2,21,8,27,No
EMP0210,Marketing,Senior,Delhi,2025-02-04,35,152309,2.8,16,10,26,No
EMP0211,Finance,Mid,Pune,2024-11-20,37,55552,2.3,6,5,0,No
EMP0212,Sales,Junior,Pune,2018-11-16,48,166408,2.9,67,0,33,Yes
EMP0213,Sales,Junior,Mumbai,2021-11-18,39,72037,3.4,36,15,16,No
EMP0214,Operations,Mid,Bengaluru,2024-05-05,24,172278,4.9,37,12,36,Yes
EMP0215,Sales,Mid,Bengaluru,2022-08-26,42,59831,4.8,10,5,37,Yes
EMP0216,Operations,Senior,Pune,2023-10-10,42,68563,4.4,0,4,25,No
EMP0217,Finance,Mid,Mumbai,2022-01-01,57,43361,4.6,24,3,23,No
EMP0218,Sales,Mid,Mumbai,2021-07-11,59,66335,2.9,41,15,38,No
EMP0219,Marketing,Junior,Mumbai,2025-10-15,54,99469,3.6,51,11,20,No
EMP0220,Marketing,Junior,Delhi,2021-01-23,53,50816,4.6,23,5,29,No
EMP0221,IT,Mid,Pune,2019-07-07,60,171691,2.6,52,5,12,No
EMP0222,Operations,Mid,Delhi,2026-02-21,53,117479,4.8,55,15,36,No
EMP0223,Sales,Mid,Mumbai,2019-10-23,32,51819,2.7,62,15,2,No
EMP0224,Marketing,Junior,Mumbai,2019-12-17,22,167813,3.4,80,13,31,Yes
EMP0225,Finance,Mid,Mumbai,2025-09-27,48,147330,3.8,7,5,34,No
EMP0226,Finance,Senior,Bengaluru,2024-02-20,30,33798,4.8,58,1,18,No
EMP0227,IT,Junior,Pune,2024-12-04,42,74695,2.0,44,14,13,No
EMP0228,Finance,Mid,Bengaluru,2021-12-29,37,154544,4.0,26,13,21,No
EMP0229,Finance,Lead,Delhi,2020-05-04,46,177254,3.1,51,15,16,No
EMP0230,Sales,Mid,Bengaluru,2024-12-20,23,34415,2.1,17,6,3,No
EMP0231,Operations,Mid,Pune,2024-03-09,27,167157,4.1,15,13,39,No
EMP0232,HR,Junior,Bengaluru,2019-10-27,28,171080,3.2,65,3,18,No
EMP0233,Finance,Mid,Mumbai,2025-06-10,40,112638,3.6,4,12,36,Yes
EMP0234,Finance,Junior,Delhi,2023-03-13,32,43452,2.3,2,14,1,No
EMP0235,HR,Lead,Delhi,2022-08-02,55,164192,2.9,80,11,14,No
EMP0236,Finance,Senior,Mumbai,2024-03-18,37,135205,3.5,79,8,1,No
EMP0237,Sales,Senior,Mumbai,2018-09-30,48,43170,2.6,69,15,10,No
EMP0238,Sales,Senior,Mumbai,2021-03-23,30,41259,1.8,6,9,22,No
EMP0239,HR,Mid,Pune,2021-06-26,42,47099,4.8,49,1,9,Yes
EMP0240,Marketing,Mid,Bengaluru,2018-10-06,58,165721,3.0,13,4,2,No
